Approved_symbol	Previous_symbols	Gene_group_ID	NCBI_Gene_ID
ACBD3	GOLPH1|GOCAP1	396	64746
ACBD3-AS1		1987	107985353
ACBD4			79777
ACBD5			91452
ACBD6		403|1691	84320
ACBD7			414149
ACBP			<NA>
ACC			<NA>
ACCN			<NA>
ACCPN			<NA>
ACCS			84680
ACCSL			390110
ACCSLP1			100422646
ACD		1334	65057
ACE	DCP1	471	1636
ACE2			59272
ACE2-DT		1990	104798195
ACE3P			100129123
ACER1	ASAH3	400	125981
ACER2	ASAH3L	400	340485
ACER2P1			645978
ACER3	PHCA	400	55331
ACH			<NA>
ACHAP			<NA>
ACHE	YT	454	43
ACHM1	RMCH		<NA>
ACHM2			<NA>
ACHM3			<NA>
ACHRD			<NA>
ACHRG			<NA>
ACIN1	ACINUS	1236	22985
ACKR1	FY|DARC	1090|454|471	2532
ACKR2	CMKBR9|CCBP2	1090	1238
ACKR3	CMKOR1|CXCR7	1090	57007
ACKR4	CCRL1	1090	51554
ACKR4P1	CCRL1P|CCRL1P1		285737
ACLS			<NA>
ACLY			47
ACMG			<NA>
ACMSD		1691	130013
ACNATP	BAATP1		347275
ACO1	IREB1		48
ACO2			50
ACO2P1			441996
ACO2P2			343508
ACOD1	IRG1		730249
ACOT1		41	641371
ACOT2		41	10965
ACOT4		41	122970
ACOT6	C14orf42	41	641372
ACOT7		41	11332
ACOT8	PTE1	41	10005
ACOT9		41	23597
ACOT11	THEA	759|41	26027
ACOT12		759|41	134526
ACOT13	THEM2	41	55856
ACOX1		2258	51
ACOX2		2258	8309
ACOX3		2258	8310
ACOXL		2258	55289
ACOXL-AS1		1987	400997
ACP1		712|1071	52
ACP2		1071	53
ACP3	ACPP	1071	55
ACP4	ACPT	1071	93650
ACP5		1071	54
ACP6		1071	51205
ACP7		1071	390928
ACR			49
ACRBP		1492	84519
ACRP1			645529
ACRV1			56
ACS3			<NA>
ACSBG1		40	23205
ACSBG2		40	81616
ACSF2		40	80221
ACSF3		40	197322
ACSL1	FACL2	40	2180
ACSL3	FACL3	40	2181
ACSL3-AS1		1987	105373904
ACSL3P1			100421637
ACSL4	FACL4|MRX63|MRX68	40	2182
ACSL5	FACL5	40	51703
ACSL6	FACL6	40	23305
ACSL6-AS1		1987	101927693
ACSM1	BUCS1	40	116285
ACSM2A	ACSM2	40	123876
ACSM2B	ACSM2	40	348158
ACSM3	SAH	40	6296
ACSM4		40	341392
ACSM5		40	54988
ACSM5P1			100421779
ACSM6	C10orf129	40	142827
ACSS1	ACAS2L	40	84532
ACSS2	ACAS2	40	55902
ACSS3		40|1691	79611
ACTA1	ACTA	929	58
ACTA2		929	59
ACTA2-AS1		1987	100132116
ACTA3			<NA>
ACTB		929|1604|1606|1605	60
ACTBL2		929	345651
ACTBP1			643309
ACTBP2			62
ACTBP3			63
ACTBP4			64
ACTBP5			<NA>
ACTBP6			66
ACTBP7			67
ACTBP8			68
ACTBP9			69
ACTBP10			446207
ACTBP11			644220
ACTBP12	ACTGP5		100462767
ACTBP14			389976
ACTBP15			391334
ACTBP16			100132223
ACTC1	ACTC	929	70
ACTE1P			399923
ACTG1	ACTG|DFNA20|DFNA26	929	71
ACTG1P1	ACTGP1|ACT1GP1		73
ACTG1P2	ACTL2|ACTGP2		74
ACTG1P3	ACTGP3		75
ACTG1P4	ACTGP4		648740
ACTG1P6	ACTGP6		78
ACTG1P7	ACTGP7		79
ACTG1P8	ACTGP8		80
ACTG1P9	ACTGP9		82
ACTG1P10	ACTL1|ACTGP10		83
ACTG1P11			414754
ACTG1P12			100418921
ACTG1P13			100418920
ACTG1P14			100418910
ACTG1P15			100418951
ACTG1P16			100418960
ACTG1P17			283693
ACTG1P18			100418924
ACTG1P19			644160
ACTG1P20			644961
ACTG1P21			100131291
ACTG1P22			100131953
ACTG1P23			442097
ACTG1P24	POTENP		441783
ACTG1P25			148709
ACTG2	ACTL3|ACTA3	929	72
ACTL2			<NA>
ACTL3			<NA>
ACTL4			<NA>
ACTL5			<NA>
ACTL6A		1436|1604|1606|1329|1634|595|1605	86
ACTL6B	ACTL6	1436|1604|1605|1606	51412
ACTL7A		1436	10881
ACTL7B		1436	10880
ACTL8		1436	81569
ACTL9		1436	284382
ACTL10	C20orf134	1436	170487
ACTL11P	ACTBP13		389120
ACTMAP	C19orf54		284325
ACTN1		1112	87
ACTN1-DT	C14orf84|ACTN1-AS1	1990	161159
ACTN2		1112	88
ACTN3		1112	89
ACTN4	FSGS1	1112	81
ACTN4P1			344978
ACTN4P2			391026
ACTP1			106480335
ACTR1A		1436|943	10121
ACTR1AP1			100287074
ACTR1B	CTRN2	1436	10120
ACTR2		39|1436	10097
ACTR2P1			100421614
ACTR2P2			284441
ACTR3		39|1436	10096
ACTR3-AS1		1987	101060091
ACTR3B		1436	57180
ACTR3BP1			643050
ACTR3BP2			440888
ACTR3BP3			647156
ACTR3BP4			777774
ACTR3BP5			399746
ACTR3BP6			644773
ACTR3BP7			100289004
ACTR3C		1436	653857
