modality,homologue_existence_False_phenotype_False,homologue_existence_False_phenotype_True,homologue_existence_True_phenotype_False,homologue_existence_True_phenotype_True,odds_ratio,pvalue,confidence_interval_low,confidence_interval_high
ORF,150,5036,200,6896,1.0270055599682288,0.8262674430677552,0.8227959795708486,1.2797068302581898
CRISPR,22,2339,47,5292,1.0590450547151447,0.7946975411976342,0.6062844709055321,1.7973494134994417
