modality,essentiality_False_phenotype_False,essentiality_False_phenotype_True,essentiality_True_phenotype_False,essentiality_True_phenotype_True,odds_ratio,pvalue,confidence_interval_low,confidence_interval_high
ORF,5265,657,7104,713,0.8043028045168457,0.00014639458409048179,0.718088136525603,0.9009899661643134
CRISPR,2374,51,4894,652,6.201463176198145,5.051864632538425e-55,4.636967455647651,8.451643461618973
