modality,expression_False_phenotype_False,expression_False_phenotype_True,expression_True_phenotype_False,expression_True_phenotype_True,odds_ratio,pvalue,confidence_interval_low,confidence_interval_high
ORF,4528,1394,5919,1898,1.041577314792259,0.3227504309653707,0.9615185057994967,1.1284431277718807
CRISPR,2035,390,3949,1597,2.1101707020927076,2.1997285702251692e-35,1.8636663940032139,2.392546226689928
