Approved symbol	Status	Previous symbols	Gene group ID	NCBI Gene ID
ABHD17AP1	Approved	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P		728917
ABHD17AP2	Symbol Withdrawn	FAM108A3, FAM108A11P, FAM108A3P		
ABHD17AP3	Approved	FAM108A4, FAM108A4P		648359
ABHD17AP4	Approved	FAM108A5, FAM108A5P		729495
ABHD17AP5	Approved	FAM108A6, FAM108A6P		91219
ABHD17AP6	Approved	FAM108A7P		644988
ABHD17AP7	Approved	FAM108A8P		100133212
ABHD17AP8	Approved	FAM108A9P		647144
ABHD17AP9	Approved	FAM108A10P		100132251
ABHD17B	Approved	C9orf77, FAM108B1	1749|4	51104
ABHD17C	Approved	FAM108C1	1749|4	58489
ABHD18	Approved	C4orf29	4	80167
ABI1	Approved	SSH3BP1		10006
ABI1P1	Approved	SSH3BP1P, ABI1P		326268
ABI2	Approved		1793	10152
ABI3	Approved			51225
ABI3BP	Approved		555	25890
ABITRAM	Approved	C9orf6, FAM206A		54942
ABITRAMP1	Approved	FAM206BP		390403
ABL1	Approved	ABL	1463|741	25
ABL2	Approved	ABLL	741|1463	27
ABLIM1	Approved	LIMAB1, ABLIM	1218	3983
ABLIM2	Approved		1218|1691	84448
ABLIM3	Approved		1218	22885
ABO	Approved		454|429	28
ABR	Approved		722|1691|682|823	29
ABR-AS1	Approved		1987	105371479
ABRA	Approved			137735
ABRACL	Approved	C6orf115		58527
ABRAXAS1	Approved	CCDC98, FAM175A	1328	84142
ABRAXAS1P1	Approved			100421580
ABRAXAS1P2	Approved			100133073
ABRAXAS2	Approved	KIAA0157, FAM175B	1375	23172
ABT1	Approved		1484	29777
ABT1P1	Approved			100420695
ABTB1	Approved		403|861	80325
ABTB2	Approved		403|861	25841
ABTB3	Approved	BTBD11	403|861	121551
ACAA1	Approved			30
ACAA2	Approved			10449
ACAA2P1	Approved			100420869
ACACA	Approved	ACAC, ACC		31
ACACB	Approved			32
ACAD	Entry Withdrawn			
ACAD8	Approved		974|2258	27034
ACAD9	Approved		974|2258|1387	28976
ACAD9-DT	Approved		1990	123706524
ACAD10	Approved		974|2258	80724
ACAD11	Approved		974|2258	84129
ACADL	Approved		2258|974	33
ACADM	Approved		974|2258	34
ACADS	Approved		2258|974	35
ACADSB	Approved		974|2258	36
ACADVL	Approved		2258|974	37
ACAN	Approved	MSK16, CSPG1, AGC1	1298|1179|590|574	176
ACAP1	Approved	CENTB1	403|395|1291	9744
ACAP2	Approved	CENTB2	403|395|1291	23527
ACAP2-IT1	Approved		1989	
ACAP3	Approved	CENTB5	403|395|1291|1691	116983
ACAT1	Approved	ACAT		38
ACAT2	Approved			39
ACBD3	Approved	GOLPH1, GOCAP1	396	64746
ACBD3-AS1	Approved		1987	107985353
ACBD4	Approved			79777
ACBD5	Approved			91452
ACBD6	Approved		403|1691	84320
ACBD7	Approved			414149
ACBP	Symbol Withdrawn			
ACC	Symbol Withdrawn			
ACCN	Symbol Withdrawn			
ACCPN	Symbol Withdrawn			
ACCS	Approved			84680
ACCSL	Approved			390110
ACCSLP1	Approved			100422646
ACD	Approved		1334	65057
ACE	Approved	DCP1	471	1636
ACE2	Approved			59272
ACE2-DT	Approved		1990	104798195
ACE3P	Approved			100129123
ACER1	Approved	ASAH3	400	125981
ACER2	Approved	ASAH3L	400	340485
ACER2P1	Approved			645978
ACER3	Approved	PHCA	400	55331
ACH	Symbol Withdrawn			
ACHAP	Symbol Withdrawn			
ACHE	Approved	YT	454	43
ACHM1	Symbol Withdrawn	RMCH		
ACHM2	Symbol Withdrawn			
ACHM3	Symbol Withdrawn			
