,ABCB5,ACOT6,BIRC5,BRF2,CA6,CDK1,CPA4,DDX42,DHX8,DNA2,DUSP14,ELMOD3,ESPL1,ETV3,HAVCR1,HOXD12,IDUA,KCNG3,LBX1,LRR1,NMUR1,NXF1,PAAF1,RAB3A,RPA1,SIRT6,SNRNP200,SOX2,TREM2,UFSP2,UNK,VCP,XAB2,ZAP70
LBX1,0.8870762,0.032654997,-0.028483534,0.015332128,0.85542136,-0.088296674,0.83958936,0.81426036,0.053791,-0.08581723,0.8445026,0.9038352,-0.078520246,0.8991377,0.88853246,0.8981586,0.8650513,0.818035,1.0,-0.09246625,0.74940205,0.013717646,0.8323926,0.86488545,-0.07399992,0.88333833,0.047940735,0.8781435,0.8679919,0.9030508,0.87880296,0.0423892,0.056301944,0.86485523
LRR1,-0.06277419,-0.21799111,0.85418344,-0.17460647,-0.0029149696,0.90239936,-0.0913153,0.056123197,-0.17016535,0.91798127,-0.060362414,-0.02190044,0.83684963,-0.017143158,-0.048776064,-0.024031172,0.096098244,0.078271754,-0.09246625,1.0,0.15312617,-0.19825006,0.106051885,-0.0359675,0.89815706,-0.0440375,-0.19336255,0.04127582,0.0075950916,-0.023079565,0.016613867,-0.23806056,-0.26083273,-0.065830715
NMUR1,0.78916746,-0.09926302,0.22856362,-0.049844284,0.7801141,0.09985329,0.71967995,0.6863554,-0.034747172,0.15919006,0.8017541,0.8149602,0.12107699,0.78599745,0.7729159,0.74670386,0.83991224,0.79318714,0.74940205,0.15312617,1.0,-0.1273285,0.8058026,0.7882811,0.16272505,0.78739905,0.025706973,0.76285213,0.7607776,0.7284161,0.77924514,-0.0982222,-0.09532148,0.7939924
NXF1,-0.04758958,0.84942126,-0.21194497,0.62330693,-0.01086484,-0.055397935,0.049088802,-0.02962768,0.793994,-0.23031981,-0.017788531,-0.02312262,-0.12848562,0.023238713,-0.07022682,-0.025975341,-0.13067102,0.02903739,0.013717646,-0.19825006,-0.1273285,1.0,-0.056478966,0.03407228,-0.14515027,-0.06022199,0.55045223,-0.0051547615,-0.06660966,0.026046429,-0.0035368854,0.8334475,0.8261045,0.044208948
PAAF1,0.8355626,-0.031423464,0.11106457,0.003583963,0.8228264,0.06728403,0.7436036,0.7558994,0.014048941,0.10784565,0.78201693,0.8446767,0.0769101,0.8500358,0.80480915,0.8479787,0.834731,0.81353843,0.8323926,0.106051885,0.8058026,-0.056478966,1.0,0.7805514,0.12559578,0.81330025,0.04011342,0.8278463,0.8252455,0.81348974,0.8519243,-0.021768847,-0.026496656,0.81783164
RAB3A,0.8874964,0.02674923,0.0077437377,-0.007049773,0.83931243,-0.0295253,0.86315155,0.790592,0.054118957,-0.04910335,0.86960256,0.886758,-0.015181048,0.86021954,0.8601213,0.84675246,0.815646,0.83497006,0.86488545,-0.0359675,0.7882811,0.03407228,0.7805514,1.0,-0.010317678,0.8509973,0.05102079,0.8444073,0.80897635,0.85507333,0.8502739,0.03344151,0.06333107,0.89371985
RPA1,-0.058763295,-0.20989546,0.8514894,-0.17671333,-0.01320325,0.8657773,-0.09823674,0.006146773,-0.12138475,0.8790128,-0.022932086,0.005944531,0.79277855,-0.015343408,-0.03669271,-0.03304796,0.085468896,0.09287089,-0.07399992,0.89815706,0.16272505,-0.14515027,0.12559578,-0.010317678,1.0,-0.06460471,-0.1611809,0.035845492,-0.01691853,-0.04620791,0.022864874,-0.21119411,-0.2122908,-0.045318786
SIRT6,0.8741276,-0.00075569947,0.020673847,0.03023446,0.8854978,-0.048844855,0.8607703,0.85823333,0.044053227,-0.032045506,0.89047205,0.90452296,-0.022346962,0.8869947,0.875035,0.8985318,0.87878406,0.83616024,0.88333833,-0.0440375,0.78739905,-0.06022199,0.81330025,0.8509973,-0.06460471,1.0,0.08378986,0.8753586,0.8820504,0.89031225,0.85944796,-0.015345668,0.023169078,0.8586509
SNRNP200,0.021110114,0.708487,-0.19845514,0.8246159,0.103370056,-0.13274956,0.14787231,0.101961136,0.7527299,-0.15849264,0.09108589,0.0748122,-0.13715185,0.09795012,-0.059579827,0.053199053,0.013277546,0.035729114,0.047940735,-0.19336255,0.025706973,0.55045223,0.04011342,0.05102079,-0.1611809,0.08378986,1.0,-0.0104763005,0.028745387,0.0585101,0.07827534,0.6557414,0.7470002,0.11672083
SOX2,0.8800506,0.0011544011,0.102087826,-0.02518208,0.856248,0.03391177,0.7959676,0.85873234,0.048554096,0.050982837,0.8361181,0.88788044,0.062699065,0.9055196,0.8852032,0.9094106,0.84203905,0.8371903,0.8781435,0.04127582,0.76285213,-0.0051547615,0.8278463,0.8444073,0.035845492,0.8753586,-0.0104763005,1.0,0.85859066,0.9081294,0.88554865,-0.00043570274,0.029658344,0.8217023
TREM2,0.8494427,-0.047506943,0.055802267,-0.0022301036,0.86487883,0.014222029,0.8094184,0.8538268,-0.009054414,0.026784128,0.83537215,0.8945328,0.053253453,0.8819295,0.86812025,0.88480335,0.88268745,0.81685245,0.8679919,0.0075950916,0.7607776,-0.06660966,0.8252455,0.80897635,-0.01691853,0.8820504,0.028745387,0.85859066,1.0,0.87795645,0.85668963,-0.054351345,-0.029151391,0.8381393
UFSP2,0.88678163,0.0675585,-0.0026536286,0.030646183,0.8866898,-0.03180412,0.8528728,0.8659214,0.08104674,-0.037063718,0.84754616,0.8944738,-0.016438453,0.9082543,0.8953786,0.9257744,0.8478683,0.86276126,0.9030508,-0.023079565,0.7284161,0.026046429,0.81348974,0.85507333,-0.04620791,0.89031225,0.0585101,0.9081294,0.87795645,1.0,0.90516865,0.041096486,0.06959621,0.8684714
UNK,0.8703553,0.008666034,0.053573564,0.014378816,0.87918526,-0.0032060267,0.8252143,0.83067214,0.06391796,0.0024834438,0.85472256,0.8923369,0.016683007,0.9021331,0.8525285,0.90483344,0.8525987,0.8570206,0.87880296,0.016613867,0.77924514,-0.0035368854,0.8519243,0.8502739,0.022864874,0.85944796,0.07827534,0.88554865,0.85668963,0.90516865,1.0,0.04622651,0.046189476,0.84816426
VCP,-0.014162923,0.8485254,-0.2709969,0.72301954,0.034888145,-0.17227048,0.113864526,0.00021172804,0.8817106,-0.25683492,-0.0074232835,-0.02423099,-0.16912976,0.05421636,-0.0737761,0.027012799,-0.1024764,0.0037725824,0.0423892,-0.23806056,-0.0982222,0.8334475,-0.021768847,0.03344151,-0.21119411,-0.015345668,0.6557414,-0.00043570274,-0.054351345,0.041096486,0.04622651,1.0,0.8984104,0.05690933
XAB2,0.008272814,0.8269435,-0.22808452,0.7770697,0.06132266,-0.16591357,0.14422646,0.06124147,0.93546534,-0.27573836,0.056152485,0.019129248,-0.14032437,0.060467307,-0.03896727,0.065312006,-0.07061056,0.016890736,0.056301944,-0.26083273,-0.09532148,0.8261045,-0.026496656,0.06333107,-0.2122908,0.023169078,0.7470002,0.029658344,-0.029151391,0.06959621,0.046189476,0.8984104,1.0,0.085997425
ZAP70,0.87628436,0.063168496,-0.017039614,0.092402644,0.84672874,-0.04922923,0.8582804,0.79578394,0.0878696,-0.07203561,0.84646493,0.89802456,-0.043208458,0.85455567,0.85829747,0.85441285,0.83456504,0.8247148,0.86485523,-0.065830715,0.7939924,0.044208948,0.81783164,0.89371985,-0.045318786,0.8586509,0.11672083,0.8217023,0.8381393,0.8684714,0.84816426,0.05690933,0.085997425,1.0
