,ABCG8,ABTB1,ARFIP2,ARHGAP8,ATG7,B4GALNT2,BCAP31,CAB39,CAMKV,CCL14,CERT1,CRACR2B,CT83,CYB561D2,CYP2A6,ELANE,EML1,EPHX1,FAM110B,FAM114A1,FAM32A,FAM9A,FBXO34,FMR1NB,FSCN2,GALNT5,GPR173,GULP1,HOOK2,HOXC9,ITGB1BP2,KLC3,LSMEM2,MAP4K4,MARCKSL1,MGAT2,MGLL,MOS,MSN,MYT1,NAP1L5,NDE1,NEMP1,NPR2,NTS,OCM,OPA3,OR10G8,PAFAH1B1,PAFAH1B2,PAFAH1B3,PARM1,PI4KB,PIP4K2A,POC1A,PODXL,POLR1D,PPP1R16B,PROSER2,PRR14,PRR15,PTPN5,RBM26,RBM47,RFTN1,RIBC1,RNF41,SCAMP2,SLC25A48,SLC39A1,SLC5A8,SPATA25,SPCS1,SPEG,SPO11,SRPK2,STK38,STK38L,STYK1,SUN2,SYAP1,TEF,TFAP2A,TMED8,TMEM179B,TMPO,TMX4,TOR1A,TOR1AIP2,TOR1B,TSSK4,VGLL4
CERT1,0.08399143,0.0050402638,-0.49470192,0.03328861,-0.004865434,-0.080464974,-0.0035757553,-0.32689014,0.5914963,0.08424427,1.0,-0.12971497,-0.018582359,-0.19749463,-0.01756364,-0.02606766,0.01907179,0.016434751,-0.43059334,-0.3118108,-0.10279338,-0.010228738,-0.17661369,0.085979216,0.025984034,0.34990698,-0.4138574,0.006613862,-0.18803796,0.11532534,0.027331624,0.0017090887,0.10427485,-0.22361201,0.65362763,0.11863097,0.02329149,0.110264406,0.4614914,0.0863421,0.044655025,0.21391767,0.046011306,0.10440202,-0.06139566,-0.008967612,-0.015163511,0.06629934,0.21757947,-0.19594863,-0.12681961,0.019983076,-0.33481783,0.372881,-0.08452904,0.1275461,0.11135908,0.064944364,0.58112544,-0.0609385,0.658476,0.14163297,-0.07334155,0.44071037,0.6277478,-0.026833218,0.13799375,-0.4930644,-0.042982645,0.058492966,0.19774634,-0.092391744,0.04138303,0.43296805,0.0053445874,0.20708807,-0.44597286,-0.457267,0.0864475,-0.051475495,-0.28332752,-0.05391278,-0.10439524,-0.13279621,-0.39343613,-0.096614465,0.045131113,-0.018283848,0.05849491,0.08076267,0.08341038,0.025071178
CRACR2B,0.18930253,-0.09176602,0.32767957,-0.021427147,0.04168132,0.3276112,0.18258381,0.30929467,-0.10535737,-0.06874162,-0.12971497,1.0,0.025659462,0.3754515,0.24931136,0.021422606,0.10372691,0.16090076,0.05067,0.48164323,0.050974626,-0.09938456,-0.17349648,0.26536542,-0.068402566,-0.3743257,0.06397517,0.011389513,0.6097965,0.045675352,0.081807524,-0.07079147,-0.14091653,-0.017279696,-0.18586208,-0.15263103,0.026096394,-0.043667793,0.09560331,-0.082518786,-0.3305713,-0.53252226,-0.13393772,0.21101761,0.17901154,0.14138582,-0.0914713,0.060340382,-0.4749038,0.65225947,0.5433961,-0.16950849,-0.031607,-0.1614159,-0.13954708,-0.03968773,0.038644694,0.17707513,-0.07302106,-0.11881673,-0.1358014,0.117154725,0.08051768,-0.13508257,-0.073063225,-0.04915529,0.07432164,0.24062066,-0.11357011,-0.14403558,-0.21229963,-0.00991502,0.096082464,0.04232195,-0.03575767,0.004959859,0.12396852,0.15942645,0.2693928,-0.19157118,0.28057134,-0.023335863,-0.03844256,0.14054291,0.19072676,-0.13469267,0.19338042,0.070920825,0.12928009,-0.019503739,-0.075307705,-0.14918274
CT83,0.019713823,0.014330541,-0.0022926312,0.052266963,-0.555008,0.019338435,0.056685664,0.024657834,-0.031149838,-0.53387713,-0.018582359,0.025659462,1.0,0.044099115,-0.08079943,0.049805183,-0.48539388,0.006091899,0.042219065,0.046881177,0.020204827,-0.5554349,0.055806816,-0.01448028,-0.5236309,0.011374909,0.083883084,-0.022247814,0.0032112082,0.062248442,0.65970284,0.035120383,-0.028311059,0.06778125,-0.0056736134,0.03448312,-0.49478278,-0.03516547,-0.03098254,-0.0030580377,0.08489645,0.034991644,0.031138029,-0.023162218,0.019320764,0.56368965,-0.40083307,0.71754134,0.068022564,-0.04321921,-0.034017015,-0.036519226,0.066275716,-0.04041346,0.06536626,0.0798848,0.61227,0.0003062077,0.018777689,-0.005928647,0.015657414,-0.052736662,0.048606448,-0.010088486,-0.024059756,-0.011209352,-0.012392511,0.07149344,-0.41124246,-0.474184,-0.4358247,0.6847927,0.47633237,-0.008512468,0.011591038,-0.011817829,0.016542234,0.023798969,-0.019115373,0.03928726,-0.010093825,-0.4625805,-0.0038599134,0.09620023,0.080896534,0.08169998,-0.0377713,0.0065812827,-0.028763259,0.09276581,-0.4703455,-0.41935048
CYB561D2,-0.004467752,0.0924763,0.3010763,-0.09601781,0.019765435,0.4115166,-0.02800192,0.12016742,-0.097245306,-0.011867409,-0.19749463,0.3754515,0.044099115,1.0,0.17826635,0.03582298,0.00403715,-0.045399733,0.10971953,0.47107083,0.23901731,-0.012869963,-0.1595264,0.033677075,-0.04020772,-0.46178168,0.025821663,0.009677531,0.37676594,-0.065462604,0.030364618,0.07217236,0.0035141539,-0.069206014,-0.13620374,-0.18091384,-0.09878173,0.015315283,-0.06269877,-0.0038804766,-0.2418505,-0.29474676,0.0978619,-0.032449976,0.11616532,0.03560437,-0.0077320337,-0.03120267,-0.28291154,0.32622582,0.2724559,-0.16977102,-0.08161497,-0.10487722,0.02022451,-0.15975983,-0.023050062,0.0346938,-0.017638084,0.09511718,-0.024308238,-0.14615726,0.13245653,-0.090286344,-0.05585636,-0.17314382,-0.023563575,0.25738734,0.03659137,-0.062697485,-0.13917878,-0.056211952,0.07358764,0.0058702566,-0.036531143,-0.16023013,0.120203376,0.07491718,0.046658766,0.031652607,0.11958918,-0.026738606,-0.07412999,-0.000546705,0.12983325,0.015752183,-0.099140234,-0.026199259,-0.13919792,-0.123895764,0.0012360327,-0.10907385
CYP2A6,0.35629407,-0.2503265,0.1861225,0.1207623,-0.019091142,0.1136328,0.32498997,0.21418275,-0.15337619,0.07400536,-0.01756364,0.24931136,-0.08079943,0.17826635,1.0,0.026439283,0.09208034,0.44262612,0.11122054,0.26058185,-0.15056765,-0.048171084,0.041333906,0.3548069,0.07181334,-0.021575809,0.1913012,0.0115544805,0.18394564,-0.019225,-0.0026492467,-0.025257567,-0.34639344,0.067913316,-0.079987936,0.083062306,0.12431234,0.12931973,-0.019731617,0.094796605,-0.08465427,-0.2771755,-0.41300523,0.43465233,-0.023042012,0.051461153,0.08939308,-0.02127077,-0.22158746,0.3072926,0.26159492,-0.011643507,0.15130354,-0.18375626,-0.47204295,0.046512555,-0.019285884,-0.045270402,-0.009359613,-0.2636333,-0.10832259,0.41432416,-0.0688691,-0.3030014,-0.110825256,0.24964572,-0.03762059,0.040527325,0.17081071,0.049793944,-0.028543565,-0.06939306,0.12583278,-0.030610409,-0.03194247,0.31637064,0.31161085,0.23571807,0.64653,-0.45903635,0.45517996,-0.0373947,-0.04746992,0.23065521,0.23565057,-0.34951767,0.4854958,0.24246801,0.40700856,0.18949847,0.15340139,-0.07241503
ELANE,0.054160316,-0.06777756,0.023848852,-0.47254416,0.03756883,-0.08151943,0.14598918,-0.008871693,0.105543,-0.06613888,-0.02606766,0.021422606,0.049805183,0.03582298,0.026439283,1.0,-0.058702487,0.06485813,-0.0022138832,0.01829149,0.020699024,0.07731183,-0.12315448,0.009023987,0.050308995,-0.1184328,-0.07699937,0.3883078,0.0070055425,0.10196823,0.07686213,-0.0020147339,-0.0514998,-0.12120336,-0.03363545,-0.45276338,0.04048058,-0.1883313,0.016812027,0.060575906,0.023209803,-0.03705875,-0.048151966,0.15213254,0.26877964,0.030030696,0.031511076,0.026024427,-0.15347879,-0.019092165,-0.072241664,0.027759358,-0.0901493,0.0527243,-0.0020715073,-0.43975553,-0.010668926,0.10392438,0.1336157,-0.12147504,0.041750193,0.16494259,0.2697891,-0.052533366,0.049040653,-0.0060410574,0.03637404,0.03393477,0.0019591302,-0.037839066,-0.091036245,-0.01657655,0.03282332,0.14707574,0.4272281,0.015443669,-0.044329733,-0.015684396,0.11470395,0.026628742,0.01407568,-0.04054291,-0.028816698,0.003376376,-0.0020747408,-0.017331554,0.086737484,0.03648535,0.09644306,0.063446365,0.008617692,0.03011078
EML1,0.033397693,0.031052414,0.08535537,-0.030098617,0.4088921,0.07003382,0.053133134,0.15620881,0.021350887,0.48578948,0.01907179,0.10372691,-0.48539388,0.00403715,0.09208034,-0.058702487,1.0,0.03163129,-0.029015236,0.043358058,-0.0034597302,0.36687028,-0.132521,0.02279381,0.36247128,0.028211243,0.0051651336,-0.07543115,0.05495678,-0.046684064,-0.38536656,0.18712637,-0.055664554,0.07332261,0.009317977,0.071288675,0.33310616,0.06303332,-0.0016307477,-0.08613752,-0.14906777,-0.11070208,-0.017290544,0.048234202,-0.051640123,-0.32580364,0.27656928,-0.4346869,-0.048830517,0.13996153,0.13916823,-0.099827126,0.011255745,0.026133511,-0.017457675,-0.023137962,-0.40675634,0.1972835,-0.07106626,0.045537736,-0.072879955,0.0033239666,-0.0630906,0.032217663,0.0013392661,-0.09727328,0.17124565,-0.015616732,0.33151415,0.31711766,0.2688491,-0.43731433,-0.29900643,0.0152001325,-0.07278289,0.007825281,-0.030219918,0.0785956,0.050051823,0.008241313,0.023006275,0.3739305,-0.15071583,-0.040058523,0.02872764,-0.005126875,0.026878182,0.03731686,0.07890649,-0.073644176,0.34563044,0.22340865
EPHX1,0.51603746,-0.225174,0.05965279,0.09934372,-0.05267994,0.08452754,0.48200947,0.04611449,-0.071183756,0.026435524,0.016434751,0.16090076,0.006091899,-0.045399733,0.44262612,0.06485813,0.03163129,1.0,0.040880978,0.16288915,-0.37301126,-0.007921251,0.11026871,0.54937315,0.09821026,0.01561651,0.02920355,-0.029309422,-0.0005828105,0.067958236,-0.06385669,-0.019693531,-0.399014,-0.038510412,0.050435137,0.090400845,0.09343379,0.06463088,0.07821976,-0.08978135,-0.018093891,-0.090779506,-0.5190843,0.5617112,-0.02931824,0.009489191,0.010233983,0.044693936,-0.084652334,0.06553323,0.11509546,-0.012051754,0.09156914,-0.28000635,-0.23312867,0.03799142,-0.04330549,-0.07522998,0.032070287,-0.34859103,-0.08293657,0.5906181,-0.06834048,-0.29519,-0.098814696,0.46658352,0.21044607,-0.033675455,0.026556395,0.06059336,0.0016267216,-0.033389118,0.13613392,-0.083930485,-0.05582782,0.5191529,0.06109887,0.05137524,0.639364,-0.525203,0.41736895,0.03054459,-0.024909377,0.4150524,0.079169706,-0.40952212,0.53135544,0.40382653,0.5953653,0.5308107,0.06569684,-0.0416464
FAM110B,-0.011228904,-0.07260063,0.51254624,0.09007253,0.012463041,-0.005995471,0.06676361,0.4026211,-0.3582384,-0.0058562495,-0.43059334,0.05067,0.042219065,0.10971953,0.11122054,-0.0022138832,-0.029015236,0.040880978,1.0,0.1133036,-0.002981319,-0.05544138,0.17640322,-0.07011835,-0.06229163,-0.0903242,0.36772135,-0.02522511,0.057276983,-0.009751845,0.016029727,0.014353212,-0.1900478,0.26889938,-0.37942454,0.0387889,-0.044314377,-0.04919598,-0.35630524,0.110613406,0.11451884,0.012416513,-0.16948208,0.027203906,-0.014632467,0.034972433,-0.06298477,-0.033999305,-0.053682327,0.030744683,0.043375283,0.07833521,0.32152396,-0.25272116,0.064547755,0.0032917839,-0.07365956,-0.13456482,-0.36686912,0.026388384,-0.38469166,-0.028815255,-0.018509619,-0.46209365,-0.35722685,0.10367517,-0.08251081,0.38684177,0.037182316,-0.0054865615,-0.0944174,0.1023909,-0.05666655,-0.27119792,0.034932557,-0.02916512,0.41916296,0.39684486,0.02545299,0.024908114,0.28175506,0.008839119,-0.060898997,0.12283571,0.36611295,-0.005689472,0.014082618,0.16596162,0.032689158,0.09797158,-0.14575188,-0.049958102
FAM114A1,0.1600766,-0.18162465,0.42519838,0.006329706,0.04661727,0.370066,0.16048637,0.23496455,-0.25265846,-0.0077483915,-0.3118108,0.48164323,0.046881177,0.47107083,0.26058185,0.01829149,0.043358058,0.16288915,0.1133036,1.0,0.014353443,-0.08740472,0.07877327,0.20666888,-0.029588625,-0.49784794,0.13957977,-0.012287479,0.4258359,-0.065273285,-0.00056909304,-0.14955828,-0.19358933,0.090874456,-0.23158687,-0.18308778,0.030223522,-0.038267992,-0.015509315,-0.08808572,-0.13865604,-0.4369138,-0.21145096,0.1907118,0.090451896,0.036452416,0.035470422,-0.004856294,-0.43556622,0.38467237,0.31014746,-0.15356746,0.073658936,-0.31179717,-0.05725469,-0.14041515,-0.018155806,0.022818238,-0.033504356,-0.025886375,-0.11491107,0.09951016,0.08732903,-0.2878362,-0.19929826,0.08343737,0.019052954,0.23667388,0.0076073445,-0.09460243,-0.18711951,-0.047903467,0.04717736,-0.0226193,-0.060223985,0.087059766,0.09184389,0.11752663,0.25259465,-0.22230747,0.447235,0.03254801,-0.012003409,0.21587308,0.24628451,-0.03867355,0.18390016,0.13760577,0.12300818,0.039845128,-0.017277926,-0.15737292
FAM32A,-0.20839643,0.58141685,0.086137354,-0.16107306,0.017653733,0.15448831,-0.22551796,0.040895157,0.09305544,-0.07888797,-0.10279338,0.050974626,0.020204827,0.23901731,-0.15056765,0.020699024,-0.0034597302,-0.37301126,-0.002981319,0.014353443,1.0,0.056071244,-0.19844347,-0.12693049,-0.118211225,-0.2234022,-0.0214958,0.056225,0.18240291,0.06801937,0.055458248,0.06949814,0.40333855,-0.04850701,-0.035091884,-0.147425,-0.11898146,-0.15911663,-0.0067193545,0.09708138,-0.15699828,-0.091806576,0.43330985,-0.18474633,0.10237761,-0.00013606995,-0.011915896,0.018443052,-0.02234922,0.2830378,0.14806736,-0.07485849,-0.11127968,0.22796579,0.17720601,-0.09005709,0.06501889,0.26310188,-0.03202706,0.10330736,0.12929462,-0.25788164,0.05817,0.25168175,0.0670145,-0.22624944,-0.107254125,0.31128478,0.08328381,-0.11887407,-0.049653865,-0.0067040557,-0.08931277,0.016946545,0.057250112,-0.51171815,0.13305224,0.12135567,-0.29771388,0.42772055,-0.18065907,-0.01956018,0.16550353,-0.2367545,0.10643217,0.23973134,-0.31004798,-0.20965144,-0.30535227,-0.44994295,0.028724687,0.22411667
FAM9A,0.0044531785,0.033594843,-0.03563803,-0.040310312,0.5817784,-0.060071163,0.019810364,-0.04778806,0.030544274,0.41302228,-0.010228738,-0.09938456,-0.5554349,-0.012869963,-0.048171084,0.07731183,0.36687028,-0.007921251,-0.05544138,-0.08740472,0.056071244,1.0,0.036688004,-0.022907248,0.5145923,0.05560512,-0.02522767,0.09289709,-0.10337052,0.000978596,-0.52177644,0.06555869,0.07247861,0.0133656915,0.025823925,-0.0453926,0.4811426,-0.027797127,-0.04727368,0.0114653725,0.03938717,0.06540001,0.13597035,-0.07763298,-0.0015386231,-0.46321744,0.47819632,-0.5226594,0.061440956,-0.0374106,-0.051326036,0.03118658,-0.03448724,0.014852944,0.076393574,-0.04812527,-0.5153458,0.025088837,0.068802826,-0.0022823196,0.002766739,-0.02793275,0.05171159,0.0275104,0.0068884008,-0.05865001,0.0068979897,-0.0007584309,0.49236602,0.40455103,0.4140492,-0.5192362,-0.3928702,-0.022790696,0.056309532,-0.0012914878,0.0019017109,0.014071726,-0.0934895,0.11053725,-0.026305199,0.44348842,0.044905383,-0.007601667,0.02685281,0.04427153,-0.006645113,0.0007906398,-0.056686886,-0.07960336,0.48104402,0.54717654
FBXO34,0.03241003,-0.29688412,0.06819217,0.30004156,0.032794688,-0.055757977,0.1347481,-0.078865305,-0.30219752,0.0020331088,-0.17661369,-0.17349648,0.055806816,-0.1595264,0.041333906,-0.12315448,-0.132521,0.11026871,0.17640322,0.07877327,-0.19844347,0.036688004,1.0,0.0072231255,-0.025281549,0.15026441,0.22645819,-0.057439536,-0.1598691,-0.007308997,0.025950711,-0.11972058,-0.17272367,0.3004037,-0.026241824,0.1723825,0.074009486,0.06527164,-0.044531126,0.011998769,0.30794883,0.17785254,-0.14359254,-0.08005983,-0.22956628,0.008164426,0.020450436,-0.0100127645,0.14390217,-0.23518954,-0.12754387,0.028771026,0.14146143,-0.23378322,0.07514751,0.11656029,-0.027319554,-0.4613602,-0.018211437,-0.02604526,-0.032632243,0.04597924,-0.12639843,-0.29085875,-0.100516945,0.22804798,-0.0471569,-0.07886641,-0.025519766,0.03656257,-0.0020691026,0.13715893,-0.05251875,-0.01787602,-0.021478008,0.2879578,0.12857696,0.0040244367,0.027163813,-0.14035504,0.1541039,0.03429018,0.15980893,0.27791095,-0.0034519471,0.014714967,0.07178368,0.09715593,0.05345238,0.1825053,-0.07449056,-0.096346915
FMR1NB,0.53146195,0.019340236,0.071339846,0.058829747,-0.09899151,0.057745263,0.48875663,0.05849182,0.029056124,0.02899937,0.085979216,0.26536542,-0.01448028,0.033677075,0.3548069,0.009023987,0.02279381,0.54937315,-0.07011835,0.20666888,-0.12693049,-0.022907248,0.0072231255,1.0,-0.011094036,-0.051732536,0.012327366,-0.006169084,0.18599886,0.2545887,-0.072481886,0.059465483,-0.25106344,-0.14102605,0.0927784,0.014961937,0.060128395,-0.091876686,0.16936794,-0.16716386,-0.16026188,-0.2143839,-0.4714104,0.6317773,0.14900908,-0.010356811,-0.06133194,0.10981333,-0.22458905,0.2003336,0.26686984,0.0033901539,-0.014488773,-0.2827352,-0.1333491,-0.025789205,-0.025907664,0.0798763,0.15788925,-0.37717456,0.090792015,0.6819102,-0.07169339,-0.13202296,0.03984674,0.44685572,0.28173324,0.03613568,-0.06809473,0.06289788,0.06338492,-0.017167732,0.1443186,0.042277377,-0.100087225,0.32788092,0.04725648,0.06750776,0.63433856,-0.50275433,0.32072324,0.03503483,-0.017487485,0.30219156,0.1212478,-0.49421862,0.59903514,0.354485,0.6721117,0.48889136,0.13288574,0.0592371
FSCN2,0.030009964,-0.0439622,-0.027964914,-0.041255835,0.572562,-0.021370295,0.1274607,-0.019370345,0.08718276,0.32255587,0.025984034,-0.068402566,-0.5236309,-0.04020772,0.07181334,0.050308995,0.36247128,0.09821026,-0.06229163,-0.029588625,-0.118211225,0.5145923,-0.025281549,-0.011094036,1.0,0.010509722,-0.015857197,0.025139332,-0.059812192,-0.039168254,-0.5110459,-0.005303206,-0.06637513,-0.04955886,0.023027455,-0.0556707,0.40948468,-0.023881182,-0.015195625,0.033062965,0.039594762,0.008130138,0.0050830664,0.02341324,-0.0050311238,-0.37819526,0.32350832,-0.49173063,0.00828423,0.0059736446,-0.008238038,0.004486978,-0.049533512,0.044083863,-0.044506725,-0.0782193,-0.4210195,0.08625695,0.038677186,-0.016780239,0.007702886,0.03388473,0.054765694,-0.023293333,0.048871633,-0.01143777,-0.021742582,-0.006462775,0.3267615,0.44748127,0.43393803,-0.52428806,-0.34436396,-0.015357608,0.025582116,0.14290103,-0.021947207,-0.01907073,0.017959664,-0.014855493,0.014376847,0.37461552,-0.030559773,0.018906362,0.010962644,-0.05707862,0.04703337,0.00057577156,0.028360385,-0.014588529,0.29645145,0.34919465
GALNT5,0.025878934,-0.088340804,-0.360377,0.21916093,-0.013241956,-0.4839099,-0.046109837,-0.038814828,0.11517942,0.006028585,0.34990698,-0.3743257,0.011374909,-0.46178168,-0.021575809,-0.1184328,0.028211243,0.01561651,-0.0903242,-0.49784794,-0.2234022,0.05560512,0.15026441,-0.051732536,0.010509722,1.0,0.0043001417,-0.15175948,-0.3669604,-0.0026286878,-0.0105207395,0.05789616,-0.12572902,0.075600855,0.20362848,0.46897304,-0.014801815,0.23270215,0.063879214,-0.00610454,0.23862588,0.35388526,-0.08105233,-0.054424323,-0.19498846,-0.0075593535,-0.043721035,0.060353428,0.37599826,-0.3752697,-0.28378305,0.38540828,0.087779686,0.061160192,-0.080448434,0.3291529,0.033910137,-0.010299286,0.008501239,0.0127820745,0.028566228,0.0797959,-0.26750392,0.17300576,0.12041771,0.0675676,0.11078036,-0.24285313,0.03252406,0.15336467,0.18941693,0.018410224,0.03884768,0.03842025,-0.044572927,0.25722304,0.012192734,-0.010285584,-0.00089689717,-0.15205538,-0.15026769,0.021044219,-0.0031502852,-0.06275676,-0.113176726,-0.01923621,0.06754632,0.09323679,0.11483265,0.17401665,0.04062383,0.08663787
GPR173,0.05308581,-0.14545318,0.4160358,0.10928634,0.010332307,-0.12917006,0.1682089,0.4518913,-0.4948278,-0.057209767,-0.4138574,0.06397517,0.083883084,0.025821663,0.1913012,-0.07699937,0.0051651336,0.02920355,0.36772135,0.13957977,-0.0214958,-0.02522767,0.22645819,0.012327366,-0.015857197,0.0043001417,1.0,-0.08803782,0.13768797,-0.12890986,-0.02708606,-0.17165045,-0.19630465,0.37319672,-0.47505942,0.04658666,0.029971143,0.047023408,-0.38267148,0.14387602,0.110824294,-0.12667622,-0.15888593,-0.029736748,-0.066316746,0.03812881,-0.036143195,-0.0686837,-0.12617785,0.11207518,0.035395622,0.22184844,0.3986349,-0.3424468,-0.08879226,0.02160155,0.032100186,-0.105245024,-0.29590893,-0.005244216,-0.329048,0.012829108,0.0059201624,-0.3530964,-0.44174924,0.039658457,-0.28676078,0.47521752,-0.009934103,0.026868464,-0.032272168,0.104047656,0.0785198,-0.3706824,-0.077295884,-0.07041606,0.49848816,0.48725027,-0.0010445546,-0.10503502,0.26913238,-0.04168173,0.19087046,0.16799784,0.51854277,-0.034343865,0.07728824,0.018129192,0.037054732,-0.05734774,-0.15124345,0.08065274
GULP1,-0.0010592192,0.07196032,0.0044015422,-0.48820508,-0.0026570894,-0.06469975,0.08754076,-0.055640828,0.07216942,-0.034062736,0.006613862,0.011389513,-0.022247814,0.009677531,0.0115544805,0.3883078,-0.07543115,-0.029309422,-0.02522511,-0.012287479,0.056225,0.09289709,-0.057439536,-0.006169084,0.025139332,-0.15175948,-0.08803782,1.0,-0.003749285,0.1433003,0.05609775,0.015402861,0.024320066,-0.048954986,-0.0025232248,-0.4508099,0.04777815,-0.09343428,0.0053489543,0.100468546,0.054560818,-0.03057352,0.0075587286,0.052206393,0.2904575,0.04594858,0.045787916,-0.029057812,-0.11166941,0.014826218,-0.05726767,0.0015119752,-0.06019253,0.039367735,0.026407186,-0.4585879,0.04238846,0.06493944,0.12197666,-0.035829037,0.1276052,0.047009345,0.36804307,0.029970482,-0.0052458188,-0.004374478,-0.0057823323,-0.011265865,0.033013847,-0.06291589,-0.033372313,0.0065231156,0.019184157,0.122448325,0.45055377,-0.0456184,-0.04723042,-0.0021306425,0.0048792716,0.06179689,0.03514337,-0.047602527,-0.0046850666,-0.012712781,0.017074162,0.015830025,0.007447049,-0.122080564,-0.022408936,0.01181717,0.024858536,0.009677162
HOOK2,0.12840554,0.054888397,0.23716602,-0.123936415,0.052233387,0.1296925,0.09528029,0.2224238,-0.16811794,-0.06647828,-0.18803796,0.6097965,0.0032112082,0.37676594,0.18394564,0.0070055425,0.05495678,-0.0005828105,0.057276983,0.4258359,0.18240291,-0.10337052,-0.1598691,0.18599886,-0.059812192,-0.3669604,0.13768797,-0.003749285,1.0,-0.0066874456,0.081821665,-0.13606414,-0.06670486,-0.08568294,-0.26626122,-0.2323206,-0.0133521715,-0.06704126,-0.007934064,-0.0018048845,-0.38162693,-0.65629995,-0.15051366,0.016762145,0.11414022,0.03938225,-0.03556378,-0.009027228,-0.6105357,0.6497769,0.5208546,-0.012978133,-0.1304236,-0.1397871,-0.11310537,-0.0754348,0.036667,0.09306629,-0.06464599,-0.053692967,-0.07851345,0.03323868,0.07868698,-0.15416,-0.030882493,-0.053326644,-0.16585207,0.28515112,-0.07286599,-0.06991761,-0.20416677,-0.057115447,0.086350545,0.011205487,-0.005642282,-0.17413872,0.18585369,0.16129509,0.14324658,-0.09656798,0.15389562,-0.028657893,0.019445723,0.07061303,0.19361818,-0.11810033,0.08825095,0.05560472,-0.00071103126,-0.085825235,-0.052615408,-0.036980007
HOXC9,0.12075121,0.12827772,-0.02995595,0.029607423,0.0039449297,-0.031652488,0.20274666,0.084282875,0.15961167,-0.04970333,0.11532534,0.045675352,0.062248442,-0.065462604,-0.019225,0.10196823,-0.046684064,0.067958236,-0.009751845,-0.065273285,0.06801937,0.000978596,-0.007308997,0.2545887,-0.039168254,-0.0026286878,-0.12890986,0.1433003,-0.0066874456,1.0,-0.025322957,0.18141691,0.025388498,-0.06734796,0.13646694,0.044437088,0.018946622,-0.45635027,0.03896094,0.08725816,-0.002877798,0.044548146,-0.0112986,0.19707441,0.11598574,0.03509872,-0.030022679,0.07512861,0.05178004,0.049626358,0.044536665,0.015746787,-0.0924913,-0.03693629,0.12720542,0.04493719,-0.005636858,0.14525235,0.111651324,-0.3029461,0.0937015,0.2007622,-0.041210994,-0.04730817,0.04870514,0.044137023,0.08545513,-0.079085805,-0.055521123,0.035183925,0.092777565,0.032458566,-0.07903999,-0.041682284,-0.035472818,0.110262126,0.04151366,0.06641863,0.14033736,0.14220838,0.066416204,0.013527632,-0.068950936,-0.035593532,0.09729846,-0.19648904,0.13984948,0.058797657,0.1857791,0.16677842,0.019604543,0.2703131
ITGB1BP2,-0.06092081,-0.027741749,0.0422477,-0.022550462,-0.5411522,0.1080151,0.032485917,0.035910167,0.0037390143,-0.45396382,0.027331624,0.081807524,0.65970284,0.030364618,-0.0026492467,0.07686213,-0.38536656,-0.06385669,0.016029727,-0.00056909304,0.055458248,-0.52177644,0.025950711,-0.072481886,-0.5110459,-0.0105207395,-0.02708606,0.05609775,0.081821665,-0.025322957,1.0,-0.04937724,0.060729552,-0.03583312,0.00892726,0.01168861,-0.46199682,0.054227322,-0.041387692,-0.017107118,-0.06928498,-0.10304411,0.07815771,-0.053884804,-0.040589105,0.54650575,-0.39531893,0.66813666,-0.048986025,0.09264633,0.09355982,-0.050813235,0.034055896,0.06554063,-0.042239856,0.018674629,0.5986803,-0.014169773,-0.006408597,0.08857518,0.015616976,-0.0321951,0.002251204,0.08766012,0.07272967,-0.05478693,-0.0008228626,0.028695375,-0.39584258,-0.46424097,-0.45637843,0.6623996,0.4670911,0.06464469,0.034234107,-0.082102045,0.050814256,0.06797193,-0.020785391,0.0018984247,0.0068674684,-0.44503498,0.001507381,-0.010564084,0.088757984,0.111806296,-0.0019742032,-0.08123192,-0.09050324,-0.0009587556,-0.44895458,-0.46929175
KLC3,-0.014418218,0.3044832,-0.017651793,0.018520545,-0.096563,0.09210263,-0.112934336,0.053935654,0.12661138,0.05750627,0.0017090887,-0.07079147,0.035120383,0.07217236,-0.025257567,-0.0020147339,0.18712637,-0.019693531,0.014353212,-0.14955828,0.06949814,0.06555869,-0.11972058,0.059465483,-0.005303206,0.05789616,-0.17165045,0.015402861,-0.13606414,0.18141691,-0.04937724,1.0,0.13989025,-0.080309965,0.07527882,0.10572663,-0.07895657,-0.094873294,0.040967047,-0.24268629,-0.13882938,0.28286457,0.20473795,0.043230705,0.093625516,-0.006542015,0.03593695,0.0962393,0.32363024,-0.015537821,-0.015383497,0.007517267,-0.018120252,0.060779557,0.33125764,0.05114355,-0.059366696,0.31263083,-0.06501991,0.10539213,-0.042160507,-0.080583856,-0.099506795,0.16690773,0.046552412,-0.040206857,0.4820786,-0.0628223,0.10944653,0.0618729,0.003747508,-0.016095547,-0.023301542,0.029347762,-0.03169394,-0.051237993,-0.079664506,0.041222047,-0.025205802,0.15568243,-0.06745973,0.08872166,-0.46553653,-0.18750614,-0.05625155,0.09349722,-0.07807497,0.072319046,0.05434922,0.033755433,0.16276863,0.025980238
