,ACOT6,ACP4,ADAM15,ADAMTS19,ADPRS,ALDH7A1,ARIH1,BARX2,BIRC6,CARD8,CDC42SE2,CDK11A,CERS2,CFD,CHD8,CHRFAM7A,CHSY3,CKM,CKS2,CNOT3,CSNK1G3,CYP2A7,DAD1,DDX41,DHX38,DLEC1,DMTF1,DUSP1,DYNLL1,EIF4A3,ELOA,ETF1,FFAR3,FOLR1,FOXJ3,FPR3,FURIN,GPR176,GPR4,GRK2,GRK5,GSK3A,GSPT1,GTF2B,GUCY1A1,HSPA2,HYOU1,IKZF4,INPPL1,KCNAB1,LZTR1,MAP2K1,MAP2K7,MAP3K6,MBD1,MKNK2,MKRN1,MPP4,NAE1,NANP,NCS1,NFKBIB,NFRKB,NFYA,NFYC,NXF1,PCSK7,PCYT1A,PDCL,PDE6H,PKIB,PKMYT1,POLR2G,POU6F2,PPFIA1,PPIC,PPP1CB,PPP2R1A,PRDM10,PTBP1,PUS3,REV3L,SAE1,SCN8A,SEC16A,SLC17A7,SRD5A1,SSBP2,STT3A,TCIRG1,THAP11,TRIM48,VCP,XAB2,YARS1,ZNF302,ZNF467
NFYC,-0.30290607,0.19753727,0.2580867,-0.007343513,-0.12650362,0.1323057,0.6191991,-0.4006292,-0.08285862,-0.24590681,0.19201799,0.034294043,0.3710512,0.4965489,0.2711589,0.45345083,-0.0683516,-0.12871826,-0.6208988,-0.19167227,-0.11385236,0.005454016,-0.33309203,0.16132542,0.1706729,0.3311008,0.46612576,0.42694056,-0.0658123,-0.28313565,-0.15593892,-0.5390349,-0.08219606,0.4461153,0.44775966,-0.12136572,-0.38577473,0.4308041,-0.22220337,0.4155867,0.21081595,-0.12081006,-0.5431428,0.09241583,0.31648454,0.17989732,-0.23477875,0.35832348,0.42359805,0.18972886,-0.24798553,0.20503719,-0.48317936,-0.43013975,-0.36394793,0.6101598,0.14157775,0.23987792,0.29695737,0.3190671,-0.12773167,-0.008945062,-0.47872403,0.77178437,1.0,-0.27260205,-0.4696856,-0.41159755,-0.6052951,-0.45124742,0.24898726,-0.6347374,-0.3278543,0.187359,0.10522085,0.26507276,0.16682537,-0.23677793,-0.44492424,0.34629437,-0.41744143,0.6887241,-0.53912735,0.07530163,-0.39572337,0.009959319,0.313502,0.16793488,-0.38010037,0.1771934,-0.28319484,0.062174223,-0.383566,-0.3779294,-0.257225,-0.1437806,-0.023605946
NXF1,0.84942126,0.18375959,0.011765097,0.15898147,-0.09345992,0.24988511,-0.042227585,-0.040689986,-0.0023178742,-0.18011539,0.18351701,0.28084823,0.05132439,-0.04301628,0.16003501,-0.18971846,0.24446501,-0.1705835,0.19040447,-0.21710232,0.26160604,0.3334637,0.03056582,0.13954586,-0.0026522703,0.15365286,-0.28320011,-0.10523075,0.020455342,0.9243352,-0.011191987,0.05312979,-0.2960608,-0.013306389,-0.021621501,-0.26447496,0.002132864,0.109224066,-0.20804343,0.018294925,-0.6742126,-0.20861563,0.122009665,-0.026079752,-0.18234822,-0.726059,0.029574428,0.10720367,-0.034392275,-0.67070735,-0.03188669,0.16614924,0.10976047,0.13985133,0.011349212,-0.1254528,-0.61705923,0.06417868,0.059928767,-0.09577964,0.0048491885,-0.25744328,0.0102482615,-0.013945509,-0.27260205,1.0,0.06691013,0.013474897,-0.020740015,-0.0030470006,-0.18453188,0.15137403,0.82861906,-0.06715878,-0.039657,-0.055507157,0.18197362,0.021464344,0.13814558,-0.12118179,0.002964365,-0.17853957,-0.018703135,0.2868215,0.121656194,0.1623492,-0.6587179,0.061697464,-0.06499957,-0.03824597,0.12297511,0.21708438,0.8334475,0.8261045,0.06903605,-0.23364136,-0.6289111
PCSK7,0.11255053,-0.3403008,-0.3876779,-0.048105463,0.1919219,-0.0785838,-0.6165517,0.5449385,0.19460234,0.28060305,-0.16559885,-0.25783816,-0.27958566,-0.45604813,-0.3750542,-0.36892715,-0.10438177,0.35021776,0.35659033,0.21630129,-0.02167222,-0.10008801,0.34777546,-0.3767494,-0.32844543,-0.3236913,-0.38342616,-0.3214013,0.14572802,0.06108462,0.09704014,0.36486232,0.19951685,-0.31998637,-0.4788033,0.25664926,0.37914374,-0.39356667,0.33775875,-0.44531727,-0.106449835,0.28770858,0.5039894,-0.18399829,-0.122157395,-0.058831856,0.34035555,-0.32373542,-0.4079471,0.021397851,0.20711619,-0.29766905,0.44689327,0.24958259,0.3421355,-0.5308614,0.03514196,-0.04662672,-0.33578035,-0.5141641,0.1511227,0.07025985,0.5066658,-0.31413728,-0.4696856,0.06691013,1.0,0.53404117,0.45626965,0.36467752,-0.14293598,0.50470704,0.13467334,-0.09997937,-0.26196325,-0.31568888,-0.2372622,0.101222806,0.5328415,-0.45423567,0.51236403,-0.46512207,0.64642435,-0.16073442,0.5248334,-0.176799,-0.08299701,-0.14368097,0.48576567,-0.17387354,0.22253975,-0.2003144,0.18760362,0.077275485,0.25611934,0.24677658,0.03684595
PCYT1A,-0.020649837,-0.41718805,-0.4375153,-0.17733312,0.22206527,-0.17781202,-0.5756857,0.52328855,0.33259377,0.36023337,-0.2779287,-0.40779218,-0.3521936,-0.54172164,-0.25467244,-0.4435481,-0.15415426,0.41591147,0.359949,0.2031152,-0.11405828,-0.12264065,0.32681006,-0.3572321,-0.3235066,-0.49060306,-0.3018703,-0.38323364,0.31452057,0.047482517,0.2822382,0.20331691,0.28720242,-0.38842314,-0.39135092,0.3119857,0.2866598,-0.4266076,0.41308463,-0.5804227,-0.10907871,0.28789443,0.38702166,-0.30229038,-0.1319804,-0.021001965,0.45500112,-0.4148738,-0.45749503,0.07915965,0.17132851,-0.33214235,0.41779515,0.26541832,0.29726866,-0.55327344,0.1522637,-0.13964637,-0.33057326,-0.5039805,0.22424805,0.05980289,0.62444717,-0.3569117,-0.41159755,0.013474897,0.53404117,1.0,0.44473514,0.35904184,-0.2929441,0.6470614,-0.0025637136,-0.22758873,-0.39297026,-0.3215488,-0.34492415,0.24742025,0.608091,-0.6154376,0.5676618,-0.36829585,0.6509139,-0.30678812,0.5993702,-0.27483338,-0.039255604,-0.12966731,0.5151829,-0.33775088,0.4546716,-0.29306078,0.024770228,-0.057569,0.3547465,0.37154,0.07885471
PDCL,0.08628167,-0.33999705,-0.30624038,-0.15528378,0.21017663,-0.28598756,-0.5844848,0.43831843,0.1252421,0.3621022,-0.33542362,-0.19284971,-0.35923988,-0.48435467,-0.39603657,-0.38148457,-0.04542023,0.2489903,0.40564546,0.29552367,-0.082163125,-0.1973209,0.3818049,-0.17556076,-0.123114645,-0.39427024,-0.3609814,-0.37574986,0.044855602,0.07411084,0.12179274,0.4751834,0.32761607,-0.45300555,-0.47618684,0.27873462,0.38993204,-0.45811045,0.3712893,-0.44654462,-0.11878873,0.28726536,0.4762359,-0.10231429,-0.13854006,-0.019834537,0.2942327,-0.49221823,-0.40398943,-0.020653859,0.15584403,-0.39458418,0.4283954,0.37003708,0.20433587,-0.544926,-0.0049551083,-0.29200757,-0.3165049,-0.29810137,0.136134,0.1539333,0.5019815,-0.6192626,-0.6052951,-0.020740015,0.45626965,0.44473514,1.0,0.4808237,-0.23403841,0.485869,0.12906694,-0.09973562,-0.03783713,-0.27807456,-0.35374522,0.33582532,0.408765,-0.23043548,0.5504614,-0.45527506,0.59875685,-0.30745426,0.40264246,-0.13817243,-0.06710151,-0.11226558,0.557117,-0.22626942,0.17074804,-0.1810685,0.084594466,0.09739806,0.27816725,0.27354577,0.24521656
PDE6H,0.012041448,-0.26916656,-0.36772794,0.014273062,0.45237494,-0.048830137,-0.4060572,0.39184496,0.49840695,0.12760426,-0.06735856,-0.204773,-0.43969685,-0.6573264,-0.17246047,-0.5023673,-0.0065431437,0.008226369,0.3389559,0.15157235,0.0014936684,-0.08870567,0.5641451,-0.13387628,-0.24038464,-0.26975495,-0.34019232,-0.5441265,0.34435558,0.009796679,0.39598876,0.6864388,0.08973781,-0.42073178,-0.44990265,0.12125763,0.4638185,-0.53893715,0.18627022,-0.6420863,-0.08395541,0.16345398,0.67138004,-0.47483683,-0.39050904,0.07953911,0.5998094,-0.3497715,-0.527318,-0.091877684,0.16409773,-0.19396952,0.5958371,0.52097803,0.18540983,-0.47782454,0.12636472,-0.074300855,-0.4191622,-0.43963337,0.24617408,-0.088211164,0.3994619,-0.371872,-0.45124742,-0.0030470006,0.36467752,0.35904184,0.4808237,1.0,-0.25272608,0.5099334,0.05876183,-0.2563506,-0.3726429,-0.1895293,0.027530884,0.073496096,0.5656611,-0.470782,0.43597886,-0.48557562,0.43592888,-0.1319445,0.5141799,-0.004641233,-0.16587791,0.11963242,0.48319903,-0.43176606,0.43472517,-0.28706956,0.056703858,0.07595452,0.5132517,0.12324262,0.0429184
PKIB,-0.134065,0.5831618,0.42674452,0.5550906,-0.36096323,0.46193323,0.39462155,-0.39602748,-0.38126874,-0.59546745,0.50305825,0.47315925,0.40640327,0.41245738,0.45834088,0.38701588,0.43033066,-0.4194661,-0.2294844,-0.4652724,0.52803296,0.53769344,-0.24141157,0.3502192,0.43650505,0.4679315,0.445397,0.43840048,-0.47618514,-0.20905754,-0.59271157,-0.35834122,-0.4854496,0.39397016,0.3853818,-0.5590373,-0.4971775,0.28420907,-0.55444074,0.4217215,0.309407,-0.4807107,-0.33594888,0.35629734,0.35430837,0.14107221,-0.40034294,0.50292885,0.4660461,-0.05346465,-0.39765495,0.55878687,-0.5913372,-0.3643102,-0.3134651,0.32950315,0.009799849,0.07650069,0.5198569,0.32742772,-0.62074214,-0.5305099,-0.33010978,0.30578655,0.24898726,-0.18453188,-0.14293598,-0.2929441,-0.23403841,-0.25272608,1.0,-0.2246509,-0.09472617,0.43322316,0.4394293,0.59568965,0.3751906,-0.020047832,-0.55135995,0.42866358,-0.35178763,0.18337265,-0.44423553,0.5884776,-0.21260482,0.5270672,0.07454517,0.17093407,-0.2029815,0.47295454,-0.47125506,0.5427923,-0.02584456,-0.025380919,-0.39919993,-0.5921961,0.035608344
PKMYT1,0.15376432,-0.25053564,-0.2742972,-0.024650509,0.28619882,-0.06269401,-0.5761587,0.412882,0.24811289,0.21541856,-0.15582223,-0.26285872,-0.37124112,-0.5203219,-0.18221155,-0.42009884,0.03669657,0.22780475,0.43613344,0.08990291,0.06691208,0.0338953,0.43047398,-0.18899348,-0.14192817,-0.35536027,-0.3012381,-0.38682064,0.23451267,0.16250092,0.22962692,0.43926868,0.19684336,-0.43882486,-0.4392021,0.1319945,0.36266753,-0.44939494,0.24273951,-0.5614881,-0.11564967,0.15960653,0.5367428,-0.36323464,-0.20468295,-0.10128422,0.39553064,-0.31133795,-0.4688514,-0.07616463,0.07810833,-0.2582282,0.44127926,0.3330567,0.228942,-0.4766352,-0.053829286,-0.15848345,-0.35870305,-0.44040993,0.14073727,-0.09778514,0.58777994,-0.51462865,-0.6347374,0.15137403,0.50470704,0.6470614,0.485869,0.5099334,-0.2246509,1.0,0.13681652,-0.14039409,-0.26830536,-0.20651326,-0.10740271,0.25420982,0.54947644,-0.5170151,0.46813962,-0.65479755,0.5795722,-0.08666724,0.63514817,-0.064196505,-0.2583748,0.019139202,0.5428518,-0.2106013,0.39448643,-0.115819186,0.19487536,0.21642943,0.40350857,0.19593935,-0.074294135
POLR2G,0.8352647,0.16689241,-0.008147465,0.20395365,-0.06846327,0.29969925,-0.11084288,-0.084096946,-0.008122226,-0.1170309,0.17269225,0.37004945,0.12814078,-0.066675164,0.14714071,-0.17123866,0.32566205,-0.15671551,0.2610913,-0.17299348,0.26013988,0.35859907,-0.021831583,0.20562032,0.06070947,0.112223595,-0.26572615,-0.119624615,-0.0292409,0.78998655,-0.06170697,0.21740164,-0.22265384,0.00840977,-0.011014505,-0.24628383,0.0728564,0.05808635,-0.20058255,0.028472329,-0.62791437,-0.22059444,0.21471019,0.052589633,-0.09832276,-0.5764011,-0.033012636,0.10027346,-0.080270305,-0.59436727,-0.04967127,0.14460516,0.12429505,0.11761386,-0.0734014,-0.15652338,-0.5063022,-0.08648727,0.010338267,-0.058345392,-0.029809121,-0.21367319,0.035066433,-0.008826459,-0.3278543,0.82861906,0.13467334,-0.0025637136,0.12906694,0.05876183,-0.09472617,0.13681652,1.0,-0.0040000067,0.047580235,-0.072770886,0.18299055,0.22266988,0.09932054,-0.047095202,0.0049431324,-0.14693291,0.07771883,0.29715154,0.090095885,0.19747066,-0.57438236,0.16877277,-0.07305889,0.05827364,0.04967341,0.29500946,0.8303169,0.8631445,0.06631885,-0.24634466,-0.49846226
POU6F2,0.0031469492,0.43957636,0.5874785,0.26748013,-0.31389913,0.35121903,0.29085803,-0.40681005,-0.4302137,-0.37663633,0.42829347,0.36840323,0.51733065,0.33409473,0.19831076,0.49281585,0.2588305,-0.22878617,-0.23103464,-0.3969067,0.16178697,0.35612717,-0.3241906,0.5005383,0.5722472,0.41710174,0.5453851,0.3836109,-0.47635388,-0.13609275,-0.5188253,-0.19900866,-0.24128176,0.41774607,0.19658722,-0.32437384,-0.21460125,0.4756628,-0.36197978,0.49163675,0.16447896,-0.35356534,-0.21788025,0.21462631,0.43099743,0.07060724,-0.44657582,0.38960803,0.5207423,0.07445159,-0.6166965,0.27161765,-0.48658586,-0.32983866,-0.4902292,0.28295758,-0.041023925,-0.09436555,0.3349487,0.2658332,-0.4161523,-0.307069,-0.4032628,0.23279783,0.187359,-0.06715878,-0.09997937,-0.22758873,-0.09973562,-0.2563506,0.43322316,-0.14039409,-0.0040000067,1.0,0.48699343,0.37160638,0.19516274,0.15205193,-0.55767345,0.3387333,-0.36500782,0.1819839,-0.27272606,0.38094756,-0.2800372,0.2940518,0.117532454,0.34554544,-0.16366692,0.60817266,-0.32701555,0.4829848,0.031019423,0.050177842,-0.42311427,-0.41235685,-0.052926786
