,ACOT6,ACP4,ADAM15,ADAMTS19,ADPRS,ALDH7A1,ARIH1,BARX2,BIRC6,CARD8,CDC42SE2,CDK11A,CERS2,CFD,CHD8,CHRFAM7A,CHSY3,CKM,CKS2,CNOT3,CSNK1G3,CYP2A7,DAD1,DDX41,DHX38,DLEC1,DMTF1,DUSP1,DYNLL1,EIF4A3,ELOA,ETF1,FFAR3,FOLR1,FOXJ3,FPR3,FURIN,GPR176,GPR4,GRK2,GRK5,GSK3A,GSPT1,GTF2B,GUCY1A1,HSPA2,HYOU1,IKZF4,INPPL1,KCNAB1,LZTR1,MAP2K1,MAP2K7,MAP3K6,MBD1,MKNK2,MKRN1,MPP4,NAE1,NANP,NCS1,NFKBIB,NFRKB,NFYA,NFYC,NXF1,PCSK7,PCYT1A,PDCL,PDE6H,PKIB,PKMYT1,POLR2G,POU6F2,PPFIA1,PPIC,PPP1CB,PPP2R1A,PRDM10,PTBP1,PUS3,REV3L,SAE1,SCN8A,SEC16A,SLC17A7,SRD5A1,SSBP2,STT3A,TCIRG1,THAP11,TRIM48,VCP,XAB2,YARS1,ZNF302,ZNF467
PPFIA1,-0.0007110988,0.4210186,0.5923933,0.16386585,-0.54323655,0.3006583,0.3299957,-0.5450022,-0.6228963,-0.35224319,0.2570058,0.48001915,0.49015915,0.5140236,0.15338746,0.50970596,0.21073431,-0.28736627,-0.1230089,-0.20945577,0.20362553,0.31814173,-0.5332086,0.5747508,0.667083,0.38073242,0.32484218,0.43152386,-0.65231156,-0.026529122,-0.63175374,-0.3130999,-0.23004371,0.5293322,0.3100525,-0.27270555,-0.478886,0.5385347,-0.37979957,0.6530796,0.09796042,-0.28763354,-0.4054824,0.5749853,0.41673857,-0.077143125,-0.65312076,0.30361354,0.5926565,-0.058016516,-0.42878127,0.33331048,-0.58383703,-0.31021425,-0.38754442,0.34275118,-0.03962559,-0.14054035,0.4807152,0.56642044,-0.49471587,-0.22502539,-0.28091136,0.088505976,0.10522085,-0.039657,-0.26196325,-0.39297026,-0.03783713,-0.3726429,0.4394293,-0.26830536,0.047580235,0.48699343,1.0,0.2989491,0.1020701,0.13673304,-0.7096574,0.6316736,-0.35203448,0.2772857,-0.38964158,0.33283827,-0.5090811,0.34421155,0.069746375,0.0405604,-0.36156148,0.6600352,-0.63596064,0.57946604,0.06929503,0.14364557,-0.60332584,-0.4118213,0.11495085
PPIC,-0.09806494,0.6043483,0.40944535,0.53721803,-0.18643023,0.4825509,0.51504654,-0.3740306,-0.2741543,-0.6277354,0.54785573,0.35815963,0.2582683,0.3751022,0.53531307,0.31162533,0.5157315,-0.47085625,-0.22824539,-0.5050246,0.5252646,0.5351163,-0.12226215,0.35129696,0.38505408,0.530235,0.39370024,0.47506067,-0.39771426,-0.06952794,-0.3867782,-0.2927758,-0.5062299,0.39233562,0.368733,-0.63121223,-0.4211668,0.34132215,-0.5476372,0.3261727,0.12337563,-0.5323015,-0.30489647,0.13546777,0.25130454,0.037060164,-0.2608792,0.48271993,0.46314228,-0.16980074,-0.3109521,0.52964085,-0.49023238,-0.29817426,-0.29989403,0.3650599,-0.09150006,0.059119046,0.43167287,0.34881383,-0.44096595,-0.5169409,-0.33157274,0.24360019,0.26507276,-0.055507157,-0.31568888,-0.3215488,-0.27807456,-0.1895293,0.59568965,-0.20651326,-0.072770886,0.37160638,0.2989491,1.0,0.34251225,-0.033500154,-0.46781006,0.46126255,-0.39516,0.2186377,-0.49587813,0.50769687,-0.1861961,0.5222101,-0.015486395,0.1606303,-0.2711799,0.35171685,-0.27992237,0.4592629,-0.018400028,-0.00017899624,-0.24888535,-0.60683566,-0.10076646
PPP1CB,0.13141607,0.49481246,0.2605414,0.43447772,0.0037167675,0.4809021,0.51222473,-0.38343194,-0.14899784,-0.52701354,0.5515283,0.39549193,0.20717435,0.1547439,0.506869,0.23898286,0.3674909,-0.62193793,-0.17696677,-0.5002632,0.4300004,0.48072708,-0.030381558,0.4354741,0.37712672,0.54540575,0.3279932,0.24089153,-0.12771387,0.075921185,-0.19152653,-0.08345638,-0.4779262,0.3178481,0.2633211,-0.5609943,-0.19671404,0.19068292,-0.52280253,0.22368968,-0.0016362342,-0.31687063,-0.15066916,-0.0071621123,-0.033589363,-0.09101536,-0.10762574,0.4335077,0.27191362,-0.15888914,-0.24810708,0.46510532,-0.14853117,0.031689696,-0.3145759,0.2049651,-0.18816699,0.2830685,0.24553004,0.09946565,-0.17868531,-0.48693937,-0.34894973,0.24537621,0.16682537,0.18197362,-0.2372622,-0.34492415,-0.35374522,0.027530884,0.3751906,-0.10740271,0.18299055,0.19516274,0.1020701,0.34251225,1.0,-0.30463427,-0.30176494,0.13716362,-0.40492797,0.04063251,-0.41456914,0.4912988,-0.11397696,0.45155948,-0.25565758,0.31464615,-0.2802778,0.14750266,-0.06154655,0.49541226,0.1565758,0.25841457,-0.031026177,-0.54169154,-0.31191194
PPP2R1A,0.13270089,-0.030940551,0.05484176,0.082734644,0.071654774,0.0702318,-0.2494923,0.0128092365,0.10517959,0.1202695,-0.040079806,0.096248016,0.06625698,-0.08237475,0.003378828,-0.09394773,0.27305865,0.07707455,0.23589946,-0.07457989,0.038141724,0.12383915,-0.1696636,0.06625369,0.022944432,-0.22406328,0.084066436,-0.15262699,0.022734543,0.08143257,-0.03751647,0.2072009,-0.0011554025,-0.13218734,-0.081926264,-0.023168506,0.11535557,-0.0013273964,-0.027579697,-0.07728332,-0.058880724,-0.26968306,0.16254921,-0.047905594,0.25314134,0.021906534,-0.09341435,0.024271995,-0.19381233,-0.17164382,-0.2808944,-0.04969169,-0.055973377,-0.1701941,-0.18583941,-0.252661,-0.0071714483,-0.6177329,-0.054769482,0.00391089,-0.016309846,-0.08130094,0.22642565,-0.09747249,-0.23677793,0.021464344,0.101222806,0.24742025,0.33582532,0.073496096,-0.020047832,0.25420982,0.22266988,0.15205193,0.13673304,-0.033500154,-0.30463427,1.0,0.052037664,-0.0590162,0.095203206,-0.00023614336,0.26830646,0.114264555,0.16326462,0.0272525,-0.017893106,0.27768037,0.055191204,0.10107142,0.0019272808,0.09292051,0.21842943,0.17884868,0.055111386,-5.600415e-05,0.0069177523
PRDM10,0.14172733,-0.55012333,-0.6825998,-0.2768087,0.5343634,-0.34937713,-0.6296057,0.70720154,0.62822515,0.47784993,-0.3663061,-0.47967914,-0.6153776,-0.6517469,-0.35524058,-0.62822294,-0.1957446,0.42494765,0.34258512,0.38230494,-0.22576496,-0.33231333,0.5699552,-0.5380859,-0.62248385,-0.5575434,-0.58998346,-0.6172666,0.6075603,0.17231023,0.6159999,0.5125588,0.33245113,-0.6367573,-0.5144291,0.420131,0.6098232,-0.6595681,0.5280707,-0.73053795,-0.20431828,0.41253886,0.6242097,-0.49479368,-0.43730614,-0.08647028,0.7144396,-0.57047415,-0.6944241,-0.016219074,0.50127685,-0.49215266,0.72648036,0.45611754,0.50410634,-0.6223319,0.019783325,0.0046041207,-0.539277,-0.6322052,0.51049626,0.24669726,0.61354595,-0.39850733,-0.44492424,0.13814558,0.5328415,0.608091,0.408765,0.5656611,-0.55135995,0.54947644,0.09932054,-0.55767345,-0.7096574,-0.46781006,-0.30176494,0.052037664,1.0,-0.6946385,0.6085642,-0.49491838,0.6632112,-0.4330924,0.6447078,-0.33600298,-0.18406886,-0.20203914,0.5496166,-0.6450126,0.60694665,-0.5903996,0.10794002,0.03666168,0.617619,0.50858504,0.028769892
PTBP1,-0.08839969,0.41960332,0.4889627,0.20174125,-0.38097355,0.20651272,0.47094703,-0.471325,-0.4945651,-0.30680934,0.27406558,0.36599615,0.426264,0.6706223,0.2432433,0.4621951,0.20838594,-0.29987872,-0.30983225,-0.16996059,0.19349104,0.23776583,-0.43641636,0.39031428,0.42459086,0.41942134,0.37154657,0.5364798,-0.6227029,-0.058378056,-0.5035649,-0.41101784,-0.18772508,0.4570327,0.44082206,-0.31565547,-0.47504985,0.49690473,-0.3455843,0.6188412,0.08814493,-0.3083633,-0.5421586,0.4918745,0.26000535,-0.031487122,-0.57265866,0.34490913,0.59081066,-0.06684881,-0.2554562,0.32537273,-0.5154541,-0.30794737,-0.32819518,0.56001496,-0.10564183,0.0033289592,0.47781554,0.6395695,-0.49734762,-0.084796205,-0.39118534,0.21845861,0.34629437,-0.12118179,-0.45423567,-0.6154376,-0.23043548,-0.470782,0.42866358,-0.5170151,-0.047095202,0.3387333,0.6316736,0.46126255,0.13716362,-0.0590162,-0.6946385,1.0,-0.4542091,0.3884484,-0.5241855,0.27918407,-0.5707063,0.30763096,0.16415782,0.0052502714,-0.41235313,0.48920554,-0.56889963,0.35974404,-0.056358848,0.018973734,-0.5169627,-0.40775728,0.114491716
PUS3,0.04364402,-0.4829329,-0.39988947,-0.33810887,0.23423897,-0.3519345,-0.6300884,0.5489862,0.3161613,0.42627072,-0.4161546,-0.36670792,-0.405882,-0.5315835,-0.43678153,-0.48949608,-0.24788857,0.47548366,0.2889991,0.32178953,-0.21760027,-0.32163182,0.5365853,-0.4382279,-0.3668658,-0.557699,-0.45637873,-0.4604909,0.32931945,0.05706783,0.2783558,0.3522806,0.34837708,-0.51581454,-0.49951264,0.4317317,0.34544572,-0.47752094,0.45473585,-0.62141114,-0.14239004,0.43355522,0.47730345,-0.21178141,-0.16470838,-0.026795413,0.5616333,-0.48546198,-0.5101718,0.04955899,0.3654761,-0.4735998,0.5210912,0.28274694,0.37281823,-0.476751,0.059703376,-0.08216224,-0.40635946,-0.4810981,0.25684696,0.2256371,0.6255701,-0.42465764,-0.41744143,0.002964365,0.51236403,0.5676618,0.5504614,0.43597886,-0.35178763,0.46813962,0.0049431324,-0.36500782,-0.35203448,-0.39516,-0.40492797,0.095203206,0.6085642,-0.4542091,1.0,-0.4383385,0.6280832,-0.39187676,0.558779,-0.3077626,-0.05313458,-0.21598458,0.6516511,-0.4442771,0.26348975,-0.39508384,-0.010764316,-0.06641391,0.38521367,0.4271258,0.13915294
REV3L,-0.20214969,0.13203211,0.25500596,-0.05408009,-0.17370121,0.116107605,0.594903,-0.44475946,-0.16703632,-0.18174376,0.07531057,0.08873247,0.36462444,0.55201215,0.11899745,0.393491,-0.009105889,-0.12463809,-0.44746885,-0.10985261,-0.12943433,0.05962304,-0.43127456,0.2403357,0.16430184,0.23185185,0.3520073,0.40008882,-0.060883567,-0.1788107,-0.18724665,-0.46000284,-0.056327444,0.44952065,0.3528072,-0.07353833,-0.38494685,0.48733076,-0.17671682,0.48096028,0.13441782,-0.16020301,-0.50016606,0.22331215,0.40248865,0.10222582,-0.3812174,0.3212801,0.36425155,0.12702778,-0.21641377,0.20292765,-0.5307837,-0.45487508,-0.31462824,0.4494681,0.15143403,-0.034623444,0.3543685,0.42824987,-0.1306893,0.050317533,-0.43814638,0.55396867,0.6887241,-0.17853957,-0.46512207,-0.36829585,-0.45527506,-0.48557562,0.18337265,-0.65479755,-0.14693291,0.1819839,0.2772857,0.2186377,0.04063251,-0.00023614336,-0.49491838,0.3884484,-0.4383385,1.0,-0.4147069,0.035770413,-0.39439255,-0.06865603,0.34633842,0.122760475,-0.45878854,0.27094328,-0.32469028,0.12812361,-0.16747013,-0.20774688,-0.33256307,-0.0876586,-0.034751352
SAE1,0.019481646,-0.58300513,-0.51410335,-0.32378992,0.35734016,-0.26326463,-0.7589401,0.61381966,0.32198626,0.5242932,-0.42323524,-0.45456776,-0.3781987,-0.5827984,-0.54671985,-0.5036744,-0.21895958,0.48505816,0.5285802,0.37561724,-0.2657191,-0.36243865,0.38210025,-0.4904684,-0.47343177,-0.56708306,-0.49956954,-0.5655426,0.30325323,0.029099109,0.4183036,0.49471998,0.47531387,-0.45495445,-0.61992884,0.48048648,0.5155983,-0.57216024,0.5769834,-0.5900647,-0.17138089,0.4247725,0.5953278,-0.3314367,-0.23296294,-0.013303549,0.3907245,-0.58328706,-0.63397616,0.061703265,0.3283206,-0.55767274,0.6526431,0.45914894,0.33101505,-0.6116623,0.118666604,-0.23539321,-0.512947,-0.51708204,0.38527417,0.267553,0.59306866,-0.46994144,-0.53912735,-0.018703135,0.64642435,0.6509139,0.59875685,0.43592888,-0.44423553,0.5795722,0.07771883,-0.27272606,-0.38964158,-0.49587813,-0.41456914,0.26830646,0.6632112,-0.5241855,0.6280832,-0.4147069,1.0,-0.44846758,0.49575645,-0.3768956,-0.01814957,-0.14776468,0.52674896,-0.36393523,0.41102308,-0.36407593,0.04583677,-0.032275744,0.43976563,0.47020224,0.15198228
SCN8A,0.26865527,0.6716153,0.49061218,0.65435725,-0.23846504,0.56887656,0.35468563,-0.44136137,-0.26585424,-0.6685326,0.61397475,0.6107057,0.40327138,0.28377116,0.64697826,0.28020185,0.58179575,-0.53577954,-0.08994393,-0.6052032,0.62847847,0.70214605,-0.20928696,0.39779064,0.40595177,0.49869904,0.37289387,0.26838198,-0.29867166,0.19938123,-0.4145799,-0.1391847,-0.66330373,0.35484797,0.3590784,-0.67010677,-0.30282363,0.3330324,-0.7033686,0.36420074,-0.054533403,-0.67915684,-0.15486924,0.12322834,0.17047183,-0.14980721,-0.36795247,0.61137676,0.36469808,-0.37515232,-0.451991,0.6145793,-0.41278276,-0.22377042,-0.36647472,0.27176934,-0.22565122,0.058297724,0.40723357,0.23436588,-0.44363502,-0.63123405,-0.35644,0.3100141,0.07530163,0.2868215,-0.16073442,-0.30678812,-0.30745426,-0.1319445,0.5884776,-0.08666724,0.29715154,0.38094756,0.33283827,0.50769687,0.4912988,0.114264555,-0.4330924,0.27918407,-0.39187676,0.035770413,-0.44846758,1.0,-0.2053096,0.6631111,-0.2376783,0.39374655,-0.32781103,0.42210543,-0.27644467,0.5847444,0.3343617,0.3855886,-0.25767362,-0.68894863,-0.32796422
SEC16A,0.11408754,-0.34448048,-0.4388613,-0.07409076,0.30243453,-0.09658907,-0.42626658,0.50002635,0.36889347,0.20487529,-0.17180638,-0.37154174,-0.42743996,-0.44360438,-0.18700829,-0.5846709,0.068530776,0.20311026,0.25169677,0.04833133,-0.014667645,-0.05754301,0.5314031,-0.33388403,-0.38358375,-0.33997875,-0.29907078,-0.33560854,0.39149338,0.1483751,0.2286077,0.32412574,0.123556845,-0.39868352,-0.47673914,0.122447304,0.25332242,-0.55414045,0.23222135,-0.63382304,-0.1887532,0.15960595,0.4597855,-0.4211047,-0.12386191,-0.050883245,0.60792726,-0.28970924,-0.5270654,-0.07521191,0.1982554,-0.24161486,0.3921521,0.20572853,0.2936606,-0.4721001,-0.016901083,-0.09925632,-0.28864262,-0.52524704,0.20623775,-0.03356299,0.55715,-0.3212727,-0.39572337,0.121656194,0.5248334,0.5993702,0.40264246,0.5141799,-0.21260482,0.63514817,0.090095885,-0.2800372,-0.5090811,-0.1861961,-0.11397696,0.16326462,0.6447078,-0.5707063,0.558779,-0.39439255,0.49575645,-0.2053096,1.0,-0.14142285,-0.1997159,-0.020868188,0.60996294,-0.41368932,0.38027176,-0.24488035,0.15362713,0.086932324,0.44081554,0.2524335,-0.040623136
SLC17A7,0.1923757,0.67049766,0.40420747,0.643119,-0.17030662,0.49882582,0.30489653,-0.29461977,-0.17268226,-0.5602124,0.5209611,0.5290197,0.30332097,0.20171852,0.66351944,0.18572149,0.5394618,-0.50310534,0.0071266354,-0.5339592,0.60886997,0.65246433,-0.119020976,0.40966868,0.39692318,0.48975858,0.26098,0.24299753,-0.33189875,0.12570754,-0.26253617,-0.008688038,-0.526131,0.27458277,0.31427845,-0.60838056,-0.29586715,0.21304004,-0.5794123,0.27735466,-0.008951973,-0.5292613,-0.13485196,0.080571786,0.025200587,-0.13129713,-0.26599416,0.45192915,0.36445,-0.3132052,-0.30395004,0.60041857,-0.306776,-0.058141008,-0.2846502,0.28617755,-0.18516946,0.10947009,0.4002663,0.22854017,-0.36085936,-0.5411737,-0.25294182,0.1020212,0.009959319,0.1623492,-0.176799,-0.27483338,-0.13817243,-0.004641233,0.5270672,-0.064196505,0.19747066,0.2940518,0.34421155,0.5222101,0.45155948,0.0272525,-0.33600298,0.30763096,-0.3077626,-0.06865603,-0.3768956,0.6631111,-0.14142285,1.0,-0.273831,0.3501811,-0.22932532,0.23029558,-0.25276512,0.5776374,0.23621838,0.27994567,-0.18556207,-0.62251204,-0.11488886
SRD5A1,-0.5711232,-0.21720295,0.0071676197,-0.15293501,-0.06288071,-0.23924415,0.07865383,-0.009877076,-0.095175646,0.19893603,-0.22905363,-0.22291243,0.09557408,0.13609618,-0.20732836,0.20581913,-0.37553942,0.24769123,-0.24192193,0.2022876,-0.3780303,-0.31752336,-0.11024925,-0.11080627,-0.07847579,-0.0911866,0.25011685,0.17481679,-0.0782196,-0.60905486,-0.10579949,-0.19272175,0.2733827,0.051364373,-0.055808723,0.2959219,-0.072629206,0.058948994,0.222296,0.09376865,0.4664861,0.12289279,-0.20976597,0.087298356,0.19549884,0.5981962,-0.16156255,0.0086191725,0.088708386,0.5074484,-0.039173976,-0.1344851,-0.14234586,-0.17242947,-0.046668835,0.065670185,0.4791931,-0.040729333,0.028385025,0.08644451,-0.004541413,0.29351166,-0.13610405,0.13510588,0.313502,-0.6587179,-0.08299701,-0.039255604,-0.06710151,-0.16587791,0.07454517,-0.2583748,-0.57438236,0.117532454,0.069746375,-0.015486395,-0.25565758,-0.017893106,-0.18406886,0.16415782,-0.05313458,0.34633842,-0.01814957,-0.2376783,-0.1997159,-0.273831,1.0,-0.057038344,0.016757222,0.10337577,-0.1746837,-0.19809316,-0.5758129,-0.6191816,-0.15194473,0.24235752,0.35910842
SSBP2,0.18820596,0.1819934,0.34965658,0.26830202,0.12206812,0.3496413,0.16274503,-0.25438932,0.05845937,-0.31486252,0.26638082,0.236134,0.28907412,0.038712136,0.3387743,0.099574536,0.33641297,-0.35454693,-0.13110264,-0.4236842,0.1363528,0.3181713,-0.08079684,0.38911152,0.20839426,0.23958369,0.4042526,0.04751093,0.102564916,0.026176132,-0.084132135,0.14298362,-0.25542635,0.15032887,0.08352961,-0.32177705,0.011582572,0.16086678,-0.3252103,0.060783725,0.06975847,-0.38588032,0.034503315,-0.21937189,0.099142626,0.07039238,-0.11166951,0.354566,0.091119334,-0.0957303,-0.52472836,0.26116803,-0.15413453,-0.08014501,-0.6142529,0.22815537,-0.0042774044,-0.13886106,0.047660604,0.01625606,-0.12548175,-0.33028367,-0.23906463,0.3844869,0.16793488,0.061697464,-0.14368097,-0.12966731,-0.11226558,0.11963242,0.17093407,0.019139202,0.16877277,0.34554544,0.0405604,0.1606303,0.31464615,0.27768037,-0.20203914,0.0052502714,-0.21598458,0.122760475,-0.14776468,0.39374655,-0.020868188,0.3501811,-0.057038344,1.0,-0.07930392,0.124470636,-0.015927631,0.35716894,0.1386433,0.18342932,0.004406067,-0.35620773,-0.22140332
STT3A,-0.009733226,-0.40741217,-0.40980422,-0.19322008,0.23925768,-0.34771836,-0.5404624,0.5283859,0.31334084,0.3624488,-0.36765084,-0.32791832,-0.3748563,-0.47360572,-0.3621423,-0.49108484,-0.18849619,0.29959303,0.20210451,0.2707453,-0.18957213,-0.26389042,0.58907837,-0.33013335,-0.32486546,-0.42986304,-0.34776846,-0.29681543,0.23672609,-0.012903857,0.15357028,0.3595191,0.32247245,-0.48739818,-0.42771405,0.30313835,0.2977317,-0.47692066,0.35747036,-0.61825,-0.03273244,0.36071992,0.4411755,-0.28840405,-0.16660127,0.030875854,0.5629523,-0.4210164,-0.4599371,0.1137884,0.16806218,-0.4609459,0.40934995,0.21675299,0.26884437,-0.41950214,0.009674858,-0.04694576,-0.34605375,-0.51460135,0.07050839,0.12952612,0.5184205,-0.377497,-0.38010037,-0.06499957,0.48576567,0.5151829,0.557117,0.48319903,-0.2029815,0.5428518,-0.07305889,-0.16366692,-0.36156148,-0.2711799,-0.2802778,0.055191204,0.5496166,-0.41235313,0.6516511,-0.45878854,0.52674896,-0.32781103,0.60996294,-0.22932532,0.016757222,-0.07930392,1.0,-0.43883353,0.23407254,-0.32007006,-0.030495772,-0.07388396,0.26983055,0.38567162,0.07534388
TCIRG1,-0.026128318,0.4422189,0.59343094,0.22140582,-0.4860876,0.44077644,0.33426264,-0.52841806,-0.5161191,-0.3915363,0.4047086,0.42772666,0.49249205,0.50900304,0.14437741,0.5664099,0.23695672,-0.18584812,-0.1908319,-0.26484853,0.17022635,0.35425588,-0.505334,0.47959286,0.59621036,0.38172618,0.43875447,0.4590204,-0.56074125,-0.08490107,-0.54783005,-0.3044722,-0.25678298,0.53548175,0.2626996,-0.3214783,-0.32000142,0.5189607,-0.31247574,0.63545686,0.16596214,-0.36138794,-0.34025627,0.48231235,0.50099546,0.07723185,-0.63986605,0.43453595,0.5615277,0.022161238,-0.4097582,0.3383988,-0.5585865,-0.38930893,-0.3048882,0.3419515,-0.030047456,-0.09871206,0.36373273,0.42854872,-0.4490001,-0.22011672,-0.3863833,0.22360322,0.1771934,-0.03824597,-0.17387354,-0.33775088,-0.22626942,-0.43176606,0.47295454,-0.2106013,0.05827364,0.60817266,0.6600352,0.35171685,0.14750266,0.10107142,-0.6450126,0.48920554,-0.4442771,0.27094328,-0.36393523,0.42210543,-0.41368932,0.23029558,0.10337577,0.124470636,-0.43883353,1.0,-0.43158993,0.46218115,0.00833549,0.06786929,-0.49892274,-0.38759577,0.018650094
THAP11,0.039709356,-0.3766655,-0.44957927,-0.10804092,0.6241548,-0.105780825,-0.25817445,0.40786436,0.49566355,0.25129426,-0.095885105,-0.39468378,-0.54207504,-0.6013248,-0.10615214,-0.402116,-0.1954289,0.22181393,0.1448424,0.14179151,-0.12906286,-0.1921433,0.42027244,-0.2899094,-0.36261794,-0.3072841,-0.340478,-0.51088285,0.48484164,0.1216405,0.60590595,0.3823837,0.17492145,-0.422839,-0.36206856,0.20450392,0.6061821,-0.4718555,0.33808565,-0.5550879,-0.19324063,0.18841028,0.49697182,-0.5094056,-0.48220098,0.03516549,0.4779063,-0.29471326,-0.4990056,0.023948835,0.28598347,-0.27620727,0.60928386,0.47873628,0.20019472,-0.45181173,0.04585091,0.055868994,-0.4631659,-0.44469178,0.4847377,0.114747554,0.23117997,-0.20936243,-0.28319484,0.12297511,0.22253975,0.4546716,0.17074804,0.43472517,-0.47125506,0.39448643,0.04967341,-0.32701555,-0.63596064,-0.27992237,-0.06154655,0.0019272808,0.60694665,-0.56889963,0.26348975,-0.32469028,0.41102308,-0.27644467,0.38027176,-0.25276512,-0.1746837,-0.015927631,0.23407254,-0.43158993,1.0,-0.40924,0.0032270234,-0.01927388,0.59030163,0.252762,-0.09305393
TRIM48,0.22573486,0.610787,0.57824636,0.44337514,-0.35881796,0.53812563,0.41560948,-0.52368313,-0.46218288,-0.527575,0.48772448,0.52659297,0.5489626,0.4281635,0.48930955,0.4517915,0.463287,-0.46564662,-0.061074164,-0.58345616,0.48762593,0.610303,-0.31932995,0.5333214,0.61269975,0.49689823,0.42674053,0.4086167,-0.4599131,0.15412024,-0.5620206,-0.27395,-0.4518959,0.52706534,0.3298574,-0.5519318,-0.49041483,0.46918714,-0.5763084,0.48078495,-0.011440429,-0.46960104,-0.31336612,0.25036237,0.32349086,-0.15032792,-0.48124272,0.536199,0.5400579,-0.24398337,-0.5090356,0.493794,-0.54286945,-0.30857885,-0.49817336,0.31966844,-0.20514852,-0.04030529,0.45698822,0.38006052,-0.49897236,-0.54520625,-0.34924653,0.19733624,0.062174223,0.21708438,-0.2003144,-0.29306078,-0.1810685,-0.28706956,0.5427923,-0.115819186,0.29500946,0.4829848,0.57946604,0.4592629,0.49541226,0.09292051,-0.5903996,0.35974404,-0.39508384,0.12812361,-0.36407593,0.5847444,-0.24488035,0.5776374,-0.19809316,0.35716894,-0.32007006,0.46218115,-0.40924,1.0,0.26239318,0.3262251,-0.3762999,-0.65047705,-0.22702326
VCP,0.8485254,0.20876475,0.032211866,0.26340738,-0.14278264,0.26250702,-0.13382678,-0.03248635,-0.052236408,-0.17915566,0.1943148,0.3938223,0.08418294,-0.019651817,0.15647487,-0.2424844,0.37724024,-0.18234229,0.2860763,-0.2142448,0.34107977,0.4267058,-0.025500918,0.20596707,0.026585683,0.12711002,-0.24349397,-0.11987442,-0.08765237,0.7873946,-0.1261929,0.18615401,-0.31053042,-0.025131755,-0.021934034,-0.27640042,0.016983137,0.10194619,-0.2972398,0.045700017,-0.59868765,-0.3150727,0.19718406,0.056518734,-0.072436824,-0.6328084,-0.04628241,0.103577904,-0.06057397,-0.62341946,-0.11219372,0.19341649,0.038564328,0.059699286,-0.010887964,-0.18476976,-0.55324817,-0.09157733,0.08904821,-0.08076006,-0.10918105,-0.2774761,0.09010127,-0.05659561,-0.383566,0.8334475,0.18760362,0.024770228,0.084594466,0.056703858,-0.02584456,0.19487536,0.8303169,0.031019423,0.06929503,-0.018400028,0.1565758,0.21842943,0.10794002,-0.056358848,-0.010764316,-0.16747013,0.04583677,0.3343617,0.15362713,0.23621838,-0.5758129,0.1386433,-0.030495772,0.00833549,0.0032270234,0.26239318,1.0,0.8984104,-0.03236354,-0.28304818,-0.52174884
XAB2,0.8269435,0.2522373,0.115116835,0.25065428,-0.12831059,0.30196476,-0.040601525,-0.13874666,-0.09184924,-0.20381616,0.21941875,0.43984133,0.11643062,-0.00011459924,0.17935497,-0.15306157,0.37352368,-0.23032014,0.24923949,-0.19408114,0.33729568,0.43056956,-0.02539276,0.34442055,0.17456631,0.16442937,-0.21155132,-0.07671366,-0.13324171,0.8020619,-0.13597722,0.21178173,-0.2767375,0.018784504,0.00041360804,-0.29273358,0.038547136,0.10046147,-0.3094508,0.08871586,-0.58261627,-0.28215384,0.180421,0.081821844,-0.12949128,-0.606683,-0.09732008,0.11891682,0.0020768372,-0.5998498,-0.11499438,0.17766866,0.060253505,0.12631676,-0.07576158,-0.12179078,-0.5545901,-0.03235086,0.11234756,-0.030524064,-0.11029839,-0.28156996,0.056829028,-0.09165111,-0.3779294,0.8261045,0.077275485,-0.057569,0.09739806,0.07595452,-0.025380919,0.21642943,0.8631445,0.050177842,0.14364557,-0.00017899624,0.25841457,0.17884868,0.03666168,0.018973734,-0.06641391,-0.20774688,-0.032275744,0.3855886,0.086932324,0.27994567,-0.6191816,0.18342932,-0.07388396,0.06786929,-0.01927388,0.3262251,0.8984104,1.0,-0.00060498714,-0.31118467,-0.50545084
YARS1,0.015667584,-0.31550497,-0.4498169,-0.08860111,0.71039075,-0.15704761,-0.25165564,0.41167668,0.55841553,0.26377577,-0.16456695,-0.42759433,-0.50537264,-0.5926217,-0.16053928,-0.37107393,-0.11952147,0.16543844,0.16381954,0.18634509,-0.060492855,-0.2077712,0.5091137,-0.37986657,-0.39247674,-0.3523558,-0.34257248,-0.5288522,0.60789293,0.064031355,0.65454435,0.52145475,0.24789974,-0.43322226,-0.4522149,0.2152245,0.5299761,-0.5438075,0.33903268,-0.6203095,-0.12026344,0.25407407,0.5321118,-0.6215134,-0.36927298,0.11358532,0.6037758,-0.31624797,-0.53762525,-0.050030813,0.32253122,-0.2792578,0.68002397,0.4734448,0.20502865,-0.411071,0.05272407,0.03857129,-0.49454325,-0.39936584,0.448718,0.09745941,0.28136548,-0.20951521,-0.257225,0.06903605,0.25611934,0.3547465,0.27816725,0.5132517,-0.39919993,0.40350857,0.06631885,-0.42311427,-0.60332584,-0.24888535,-0.031026177,0.055111386,0.617619,-0.5169627,0.38521367,-0.33256307,0.43976563,-0.25767362,0.44081554,-0.18556207,-0.15194473,0.004406067,0.26983055,-0.49892274,0.59030163,-0.3762999,-0.03236354,-0.00060498714,1.0,0.27531072,-0.062391248
